nama_dokumen,kalimat,index,important,conjunction,length,words_in_title,position,cue_words
MetaMeysawati_KUALIFIKASI(99216026).txt,"Penelitian ini berusaha untuk mendapatkan klasifikasi genre film di Indonesia berdasarkan dari penayangan film atau dikenal dengan istilah cuplikan (thriller) yang dapat membantu para peminat film agar dapat membedakan genre Komedi, Drama/Romantis, Aksi, Horor dan Thriller.",0,1,0,35,0.24,1,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Rencana penelitian mencoba untuk menggabungkan teknik dan mengembangkan algoritma yang dapat menghasilkan klasifikasi film ke dalam lima genre Komedi, Drama/Romantis, Aksi, Horor dan Thriller sehingga didapat metode yang menghasilkan nilai akurasi yang maksimal.",1,1,0,31,0.14285714285714285,0.9285714285714286,2
MetaMeysawati_KUALIFIKASI(99216026).txt,"Berdasarkan peneliti sebelumnya, untuk mendapatkan data latih dan uji maka tahapan terpentingnya adalah pada tahapan preprocessing.",2,1,0,17,0.05263157894736842,0.8571428571428572,1
MetaMeysawati_KUALIFIKASI(99216026).txt,"Pada tahapan awal ini, maka data yang akan dilatih dan diuji dapat dilakukan.",3,1,0,15,0.0,0.7857142857142857,0
MetaMeysawati_KUALIFIKASI(99216026).txt,Berikut tahapan peneliti dalam mengklasifikasikan lima genre yang di dapat dari inputan video yang akan diuraikan pada gambar 3.1 dibawah ini.,4,1,1,21,0.09523809523809523,0.7142857142857143,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Rencana yang akan dilakukan menggunakan modifikasi dengan menggunakan metode yang sama pada penelitian (Shafirra, 2010) untuk mengklasifikasikan data teks yang telah berhasil di dapat menggunakan metode Support Vector Mechine (SVM).",5,1,1,29,0.25,0.6428571428571428,1
MetaMeysawati_KUALIFIKASI(99216026).txt,Metode Klasifikasi yang akan dilakukan pada penelitian ini adalah pada gambar berikut.,6,1,1,12,0.14285714285714285,0.5714285714285714,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Metode klasifikasi yang tertera pada gambar 3.2 adalah sumber yang berupa video atau cuplikan film, penelitian dilakukan dengan memisahkan sumber dari video yaitu, audio, text dan video untuk mengklasifikasi genre dari film tersebut.",7,1,0,29,0.21739130434782608,0.5,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Detail dari metode sebagai berikut :
1.",8,1,1,8,0.07692307692307693,0.5714285714285714,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"MFCC Cepstal, merupakan pola pemodelan statistik yang berasal dari audio, untuk kategori berdasarkan audio atau frekuensi sinyal audio per waktu untuk dapat identifikasi ciri dari suatu cuplikan film
2.",9,1,0,27,0.125,0.6428571428571429,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Speech quality, pada metode ini berdasarkan pada pembicaraan atau pengenalan suara untuk memperkirakan genre film berdasar kata kata yang diucapkan, dalam metode ini juga kualitas suara mempengaruhi dari identifikasi
3.",10,1,0,27,0.19047619047619047,0.7142857142857143,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Interactivity, pada bagian ini sistem identifikasi percakapan antara satu orang dengan lainnya dalam cuplikan film, inti dari percakapan dapat mengetahui genre dari video tersebut
4.",11,1,1,25,0.15789473684210525,0.7857142857142857,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Linguistic, pada bagian ini identifikasi dilakukan dengan melihat teks pada film (jika ada), pada bagian linguistic erat kaitanya dengan interactivity
5.",12,1,0,20,0.05,0.8571428571428571,0
MetaMeysawati_KUALIFIKASI(99216026).txt,"Video, pada bagian video, genre dapat diidentifikasi dari background film, ataupun ekspresi muka dan perilaku.",13,1,0,16,0.11764705882352941,0.9285714285714286,0
MetaMeysawati_KUALIFIKASI(99216026).txt,Kelima metode tersebut dapat dijadikan kombinasi untuk klasifikasi genre dari film.,14,1,1,12,0.3076923076923077,1,0
Kualifikasi Witta Listiya Ningrum.txt,bab ini akan menjelaskan tentang metodologi penelitian yang digunakan sebagai gambaran dari langkah langkah yang akan dilakukan untuk menyelesaikan penelitian ini.,0,1,1,17,0.045454545454545456,1,0
Kualifikasi Witta Listiya Ningrum.txt,3.1 tahapan penelitian penelitian ini melakukan pengembangan model klasifikasi toksisitas pada platform sosial media.,1,1,1,14,0.35,0.9444444444444444,1
Kualifikasi Witta Listiya Ningrum.txt,tahapan penelitian yang digunakan dapat dilihat pada gambar 3.1. gambar 3.1 tahapan metode penelitian literatur review pengumpulan data large language model llm platform twitter representasi teks representasi gambar platform instagram representasi video platform t iktok model klasifikasi toksisitas evaluasi model hasil generate caption llm multi modal 30 tahapan metode penelitian pada gambar 3.1 terdiri dari beberapa langkah yaitu 1. tahap literature review pada tahap ini dimulai dengan melakukan kajian dari berbagai sumber tertulis dalam bentuk buku artikel dan jurnal serta penelitian peneltiian terkait guna memahami dan mengidentifikasi kesenjangan dalam topik penelitian serta menemukan kelemahan dan keleb ihan dalam penelitian.,2,1,0,71,0.17857142857142858,0.8888888888888888,1
Kualifikasi Witta Listiya Ningrum.txt,selain itu juga untuk menentukan dan membandingkan metode serta algoritma yang sudah digunakan pada penelitian sebelumnya yang nantinya akan mengembangkan atau menciptakan suatu metode atau algoritma terbaru.,3,1,0,24,0.043478260869565216,0.8333333333333334,2
Kualifikasi Witta Listiya Ningrum.txt,2. tahap pengumpulan data pada tahap ini dilakukan pengumpula n data yang akan digunakan untuk melatih dan menguji model.,4,1,0,18,0.041666666666666664,0.7777777777777778,0
Kualifikasi Witta Listiya Ningrum.txt,data ini dapat berupa konten konten pada sosial media yang akan dikategorikan ke dalam 3 kategori toksisitas yaitu toxic nontoxic dan netral .,5,1,0,22,0.13043478260869565,0.7222222222222222,0
Kualifikasi Witta Listiya Ningrum.txt,data tersebut harus mencakup berbagai jenis media seperti teks gambar dan video untuk memungkinkan model mengenali toksisitas dari berbagai jenis konten yang ada pada platform sosial media .,6,1,0,25,0.45,0.6666666666666667,0
Kualifikasi Witta Listiya Ningrum.txt,3. large language model llm large language model merupakan jenis model kecerdasan buatan artificial intelligence yang dilatih untuk memahami menghasilkan dan memproses bahasa alami natural languange dalam skala besar.,7,1,0,26,0.16129032258064516,0.6111111111111112,2
Kualifikasi Witta Listiya Ningrum.txt,large language model dilatih menggunakan dataset yang besar terdiri dari teks yang diambil dari berbagai sumber seperti artikel buku situs web dan lainnya.,8,1,0,22,0.16,0.5555555555555556,0
Kualifikasi Witta Listiya Ningrum.txt,4. large language model llm multimodal large language model pada penelitian yang dilakukan untuk memproses tidak hanya dalam bentuk jenis media teks melainkan gambar dan juga video.,9,1,0,25,0.5,0.5,0
Kualifikasi Witta Listiya Ningrum.txt,large language model llm untuk klasifikasi multimodal melibatkan teks gambar dan juga video.,10,1,0,14,0.5294117647058824,0.5555555555555556,0
Kualifikasi Witta Listiya Ningrum.txt,m eskipun llm berfokus pada teks model ini dapat diadaptasi atau dikombinasikan dengan model lain yang mendukung modalitas non teks seperti gambar dan video melal ui pendekatan yang disebut dengan model multimodal.,11,1,0,28,0.2692307692307692,0.6111111111111112,0
Kualifikasi Witta Listiya Ningrum.txt,pada 31 tahap ini dilakukan preprocessing dari masing masing jenis media yang digunakan.,12,1,1,13,0.1,0.6666666666666666,0
Kualifikasi Witta Listiya Ningrum.txt,untuk representasi teks menggunakan teknik teknik pemrosesan bahasa alami seperti tokenisasi vektorisasi data word embedding dan penggunaan model bahasa pretrained seperti bert untuk mewakili teks dalam bentuk vektor numerik yang dapat dimengerti oleh model.,13,1,0,29,0.06060606060606061,0.7222222222222222,0
Kualifikasi Witta Listiya Ningrum.txt,7. untuk representasi gambar dan video menggunakan teknik teknik pemrosesan gambar seperti ekstraksi fitur dengan convolutional neural networks cnn atau menggunakan model pretrained seperti resnet atau vgg untuk mewakili gambar dalam bentuk vektor numeri k. 5. generate caption pada tahapan ini menggunakan model llm seperti blip atau flamingo untuk menggabungkan kemampuan visual dan bahasa dalam menghasilkan teks captioning dari representasi gambar dan video .,14,1,0,46,0.10869565217391304,0.7777777777777778,1
