nama_dokumen,kalimat,index,important,conjunction,length,words_in_title,position,cue_words
MetaMeysawati_KUALIFIKASI(99216026).txt,tidak ada rangkuman penelitian terkait,0,1,1,5,0.0,1,0
Octaviani Hutapea_UK.txt,tidak ada rangkuman penelitian terkait,0,1,1,5,0.0,1,0
Erfiana Wahyuningsih_UK.txt,berdasarkan beberapa penelitian terkait sram untuk mewujudkan sram low power dan high read stability metode yang dapat dilakukan yakni gdi mgdi finfet cntfet hingga adiabatik.,0,1,0,25,0.28,1,1
Erfiana Wahyuningsih_UK.txt,namun yang akan menjadi focus utama penelitian ini yakni penerapan dari metode mgdi modified gate diffusion input.,1,1,0,18,0.0,0.75,0
Erfiana Wahyuningsih_UK.txt,desain sel m gdi memanfaatkan input untuk bertindak sebagai sumber dan penyimpan untuk transistor mos yang mengurangi komponen konsumsi daya short circuit dinamis menjadi nilai yang dapat diabaikan tanpa memerlukan pertimbangan desain sirkuit khusus.,2,1,0,32,0.05405405405405406,0.5,0
Erfiana Wahyuningsih_UK.txt,oleh karena itu dipilih metode m gdi sebab metode ini menawarkan solusi yang lebih efisien dalam hal konsumsi daya dan kompleksitas desain yang sangat penting dalam pengembangan sirkuit digital yang hemat energi dan efisien 8.,3,1,0,30,0.06451612903225806,0.75,1
Erfiana Wahyuningsih_UK.txt,2.4 rangkuman penelitian,4,1,1,3,0.0,1,0
Ragiel.txt,tidak ada rangkuman penelitian terkait,0,1,1,5,0.0,1,0
Kualifikasi_Aris Gunaryati.txt,berdasarkan perbandingan telaah tersebut pada penelitian ini akan diusulkan s ebuah metode untuk menghasilkan model peramalan yang sesuai untuk data runtun waktu yang ada yaitu data jumlah kasus harian covid 19 di jakarta dengan metode hybrid arimaqnn berdasarkan dataset dari situs httpscorona.jakarta.go.id tangg al 6 maret 2020 sampai 30 juni 2021 sebagai data training dan nanti akan diprediksi untuk tanggal 1 juli 2021 sampai dengan 31 juli 2021 sebagai data uji.,0,1,0,57,0.14893617021276595,1,1
Kualifikasi_Aris Gunaryati.txt,metode hybrid arimaqnn diusulkan d engan harapan akan memb erikan nilai pe ramalan yang lebih akurat de ngan pr esisisi yang tinggi,1,1,1,21,0.03333333333333333,1,0
Ragmar Faikar Eka_Kualifikasi.txt,pada penelitian ini penulis mengambil beberapa referensi metode dan teknik yang digunakan pada penelitian terdahulu rangkuman penelitian tersebut disajikan dalam bentuk fishbone diagram pada gambar 2.15. dalam melakukan penelitian sangat penting untuk menentukan metode yang akan 29 gambar 2.15 fishbone penelitian berdasarkan metode dan teknik yang telah dilakukan pada penelitian terdahulu untuk menjawab tujuan dari penelitian ini maka akan digunakan metode deep learning cnn dengan arsitektur mobilenetv3 dan menggabungkannya dengan attention module cbam serta menggunakan pendekatan contour dalam tahap segmentasi data.,0,1,0,55,0.13513513513513514,1,0
Ike Putri Kusumawijaya (99216004).txt,"Adversarial training dari model generator dan model diskriminator adalah masalah zero-sum game: ketika satu model menjadi lebih baik, yang lain menjadi lebih buruk dalam proporsi yang sama.",0,1,0,25,0.0,1,0
Ike Putri Kusumawijaya (99216004).txt,"Untuk semua permainan zero-sum, ada titik di mana tak satu pun dari pemain dapat memperbaiki situasi.",1,1,1,18,0.0,0.75,0
Ike Putri Kusumawijaya (99216004).txt,Titik ini disebut sebagai keseimbangan Nash.,2,1,1,7,0.0,0.5,0
Ike Putri Kusumawijaya (99216004).txt,"Tujuan GAN adalah untuk mencapai keseimbangan ini, karena data palsu yang dihasilkan oleh model generator tidak dapat dibedakan dari data nyata oleh model diskriminator.",3,1,0,23,0.0,0.75,1
Ike Putri Kusumawijaya (99216004).txt,"Keluaran dari diskriminator tersebut kemudian merupakan tebakan acak apakah data masukan tersebut asli atau palsu (Sabuhi et al, 2021).",4,1,0,22,0.0,1,0
