nama_dokumen,kalimat,index,important,conjunction,length,words_in_title,position,cue_words
Alfharizky Fauzi_Kualifikasi.txt,kulit organ besar tubuh main peran tahan ancam lingkung bakteri virus zat bahaya,0,1,1,13,0.038461538461538464,0.0,0.0
Alfharizky Fauzi_Kualifikasi.txt,sakit kulit sehat sebar luas serang orang orang usia sakit sebab faktor genetika gaya hidup papar lingkung,1,1,1,17,0.07407407407407407,0.09297052154195011,0.0
Alfharizky Fauzi_Kualifikasi.txt,lain kulit y ang dunia indonesia mana sakit timbul tantang sehat masyarakat tinggi angka jadi j zhang et al,2,1,1,19,0.07142857142857142,0.18140589569160995,0.0
Alfharizky Fauzi_Kualifikasi.txt,2023 ,4,1,1,14,0.08,0.3446712018140589,0.0
Alfharizky Fauzi_Kualifikasi.txt,indonesia rumah 270 juta orang kena sakit kulit jadi salah negara kena dampak global,5,1,1,9,0.09090909090909091,0.41950113378684806,0.0
Alfharizky Fauzi_Kualifikasi.txt,sakit kulit psoriasis eksim acne vulgar vitiligo melano ma,6,1,1,14,0.038461538461538464,0.4897959183673469,0.0
Alfharizky Fauzi_Kualifikasi.txt,sakit sakit timbul gejala fisik dampak psikologis dalam pengaruh kualitas hidup pasien interaksi sosial,7,1,1,8,0.09523809523809523,0.5555555555555556,0.0
Alfharizky Fauzi_Kualifikasi.txt,diagnosis efisien sakit kulit kunci nang an efektif,8,1,1,14,0.0,0.6167800453514739,0.0
Alfharizky Fauzi_Kualifikasi.txt,proses diagnosis gantung alam klinis tahu medis dalam dermatolog kali batas akses awat kualitas,9,1,1,16,0.07407407407407407,0.673469387755102,0.0
Alfharizky Fauzi_Kualifikasi.txt,diagnosis sakit kulit tradisional periksa langsung dokter spesialis kulit analis dasar alam klinis tahu medis milik,10,1,1,14,0.16666666666666666,0.7256235827664398,0.05
Alfharizky Fauzi_Kualifikasi.txt,kembang teknologi bidang cerdas buat artificial intelligence ai potensi optimal proses diagnosis sakit kulit,11,1,1,10,0.14285714285714285,0.7732426303854876,0.05
Alfharizky Fauzi_Kualifikasi.txt,maju bidang cerdas buat buka peluang tingkat diagnosis sakit kulit,12,1,1,14,0.2727272727272727,0.8163265306122449,0.05
