nama_dokumen,kalimat,summary
Alifurrohman_Kualifikasi.txt,pengembangan optimasi rute menggunakan deep reinforcement learning pada model dynamic vehicle routing problem with time windows dvrp tw,Pengembangan Optimasi Rute Menggunakan Deep Reinforcement Learning Pada Model Dynamic Vehicle Routing Problem With Time Windows (DVRP TW) 
Armando Tirta Dwilaga_Kualifikasi.txt,pengembangan algoritma berbasis convolutional neural network cnn dalam pengukuran kualitas melalui klasifikasi pada produk ban,pengembangan algoritma berbasis convolutional neural network cnn dalam pengukuran kualitas melalui klasifikasi pada produk ban
Devi Resviani_KUALIFIKASI.txt,predictive maintenance mesin kompresor reciprocating berbasis machine learning,predictive maintenance mesin kompresor reciprocating berbasis machine learning
Erfiana Wahyuningsih_UK.txt,low power high read stability design 6t sram memory uses m gdi in 0.35 um.,low power high read stability design 6t sram memory uses m gdi in 0.35 um.
Fitriana Indah Pramitasari_Kualifikasi.txt,pengembangan model platform koperasi petani berbasis kecerdasan buatan untuk optimasi rantai pasok kentang,pengembangan model platform koperasi petani berbasis kecerdasan buatan untuk optimasi rantai pasok kentang
KUALIFIKASI_Riya Widayanti.txt,penerapan teknologi blockchain dalam tata kelola data pada pendidikan tinggi,penerapan teknologi blockchain dalam tata kelola data pada pendidikan tinggi
Kualifikasi Witta Listiya Ningrum.txt,pengembangan model klasifikasi toksisitas multimodal pada platform sosial media menggunakan large language model llm dengan kombinasi jenis media teks gambar dan video,pengembangan model klasifikasi toksisitas multimodal pada platform sosial media menggunakan large language model llm dengan kombinasi jenis media teks gambar dan video
Kualifikasi_Aris Gunaryati.txt,analisis runtun waktu dengan metode quantum arima neural network studi kasus data pertambahan jumlah kasus harian covid 19 di jakarta,analisis runtun waktu dengan metode quantum arima neural network studi kasus data pertambahan jumlah kasus harian covid 19 di jakarta
Kualifikasi_Rama Dian Syah.txt,pengembangan kriptografi pada citra digital berbasis chaotic map,pengembangan kriptografi pada citra digital berbasis chaotic map
Kualifikasi_Remigius.txt,pengembangan sistem pembelajaran arsitektur berbasis metaverse dengan keterlibatan komunitas dosen dan mahasiswa arsitektur,pengembangan sistem pembelajaran arsitektur berbasis metaverse dengan keterlibatan komunitas dosen dan mahasiswa arsitektur
Miftakhul Zaen_KUALIFIKASI.txt,pengembangan algoritma kuantum dbscan untuk klasterisasi supplier,pengembangan algoritma kuantum dbscan untuk klasterisasi supplier
Ragmar Faikar Eka_Kualifikasi.txt,metode klasifikasi kematangan buah kelapa sawit dengan menggunakan mobilenetv3 dan teknik attention module,metode klasifikasi kematangan buah kelapa sawit dengan menggunakan mobilenetv3 dan teknik attention module
Reza Al Husna_Kualifikasi.txt,pengembangan algoritma berbasis vision transformer pada deteksi penyakit tanaman kakao,pengembangan algoritma berbasis vision transformer pada deteksi penyakit tanaman kakao
Robert_Kualifikasi.txt,pengembangan model klasifikasi morphological neural network untuk sistem pengenalan ekspresi wajah,pengembangan model klasifikasi morphological neural network untuk sistem pengenalan ekspresi wajah
Tatya Atyanti Paramastri_Kualifikasi.txt,pengembangan algoritma kuantum segmentasi dan klasifikasi pada citra motif batik daur hidup yogyakarta,pengembangan algoritma kuantum segmentasi dan klasifikasi pada citra motif batik daur hidup yogyakarta
Tia Haryanti_Kualifikasi.txt,sistem deteksi dini kantuk pada pengemudi untuk kondisi predriving dengan menggunakan artificial intelligence,sistem deteksi dini kantuk pada pengemudi untuk kondisi predriving dengan menggunakan artificial intelligence
Utami Lestari_Kualifikasi.txt,pengembangan sistem tinjauan makalah dengan large language models,pengembangan sistem tinjauan makalah dengan large language models
Yoga Panji Perdana Nugraha_Kualifikasi.txt,deteksi cacat produk pada industri manufaktur menggunakan pembelajaran mendalam studi kasus pada manufaktur sekrup,deteksi cacat produk pada industri manufaktur menggunakan pembelajaran mendalam studi kasus pada manufaktur sekrup
