nama_dokumen,kalimat,summary
Alfharizky Fauzi_Kualifikasi.txt,perbandingan tinjauan penelitian dalam tinjauan penelitian ini terdapat perbandingan mendalam antara berbagai pendekatan yang digunakan untuk pencocokan gambar teks berbasis pembelajaran mendalam. penelitian ini mengidentifikasi dan mengklasifikasikan pendekatan pendekatan utama berdasarkan keselarasan antara gambar dan teks serta metode pembelajarannya. beberapa penelitian terkait tentang pengolahan citra dan teks penyakit kulit untuk menentukan klasifikasi jenis penyakit pada kulit yang terdeteksi pada organ kulit menggunakan metode algoritma pengolahan image teks maupun keduanya yang menjadi rujukan penelitian . dalam keseluruhan perbandingan ini penelitian ini memberikan wawasan yang komprehensif tentang kelebihan dan kekurangan masing masing pendekatan serta tantangan dan peluang pengembangan di masa depan memberikan dasar yang kuat bagi peneliti baru untuk mengeksplorasi dan berkontribusi dalam bidang pencocokan gambar teks berbasis pembelajaran mendalam. diuraikan pada tabel 2.4 berikut ini yaitu peneliti ebaid et al. 2023b mohammed al tuwaijari 2021 shen et al. 2024 wei et al. 2018,penelitian ini mengidentifikasi dan mengklasifikasikan pendekatan pendekatan utama berdasarkan keselarasan antara gambar dan teks serta metode pembelajarannya. beberapa penelitian terkait tentang pengolahan citra dan teks penyakit kulit untuk menentukan klasifikasi jenis penyakit pada kulit yang terdeteksi pada organ kulit menggunakan metode algoritma pengolahan image teks maupun keduanya yang menjadi rujukan penelitian .
Alifurrohman_Kualifikasi.txt,"Berdasarkan tabel perbandingan di atas dapat diketahui berbagai perbedaan pada masing-masing penelitian. Model permasalahan pada penelitian terdahulu terbagi menjadi beberapa model yaitu dynamic vehicle routing problem (DVRP), Dynamic Vehicle Routing Problem with Time Windows (DVRPTW), capacited vehicle routing problem (CVRP), heterogeounus capacited vehicle routing problem (HCVRP), travel salesman problem (TSP). Terkait fokus permasalahan yang diambil pada berbagai penelitian mulai dari permintaan pelanggan yang tidak pasti, keadaan lalu lintas, dan terkait kendaraan yang digunakan pada proses pengiriman. Penyelesaian dilakukan dengan menggunakan metaheuristik diantaranya Hybrid Brain Storm Optimization (BSO), ant colony optimization, dan yang lainnya. Penggabungan algoritma juga dilakukan pada beberapa penelitian terdahulu seperti hybrid antara brain strom optimization dengan ant colony optimization. Penggunaan machine learning yaitu reinforcement learning, deep reinforcement learning dan deep q-network digunakan pada berbagai penelitian sebab memiliki kelebihan yaitu lebih optimal pada data yang banyak. Multi attention juga digunakan pada penyelesaian permasalahan optimasi rute dan menunjukan hasil yang optimal. Pada penelitian selanjutnya fokus penelitian pada model masalah dynamic vehicle routing problem with time windows (DVRPTW) dengan fokus terhadap ketidakpastian jalan raya serta ketidakpastian pelanggan yang berubah-ubah, dimana pada proses pengiriman ke pelanggan terdapat jendela waktu atau batasan waktu pengiriman sampai ke pelanggan. Pada penelitian terdahulu hanya fokus pada salah satu saja seperti hanya fokus pada pelanggan yang tidak pasti atau ketidakpastian jalan raya. Penyelesaian dilakukan dengan menggunakan deep reinforcement learning pada hal ini menggunakan metode deep Q-network (DQN) dengan menggabungkan multi-header attention kedalam arsitektur DQN.","Model permasalahan pada penelitian terdahulu terbagi menjadi beberapa model yaitu dynamic vehicle routing problem (DVRP), Dynamic Vehicle Routing Problem with Time Windows (DVRPTW), capacited vehicle routing problem (CVRP), heterogeounus capacited vehicle routing problem (HCVRP), travel salesman problem (TSP). Multi attention juga digunakan pada penyelesaian permasalahan optimasi rute dan menunjukan hasil yang optimal. Pada penelitian selanjutnya fokus penelitian pada model masalah dynamic vehicle routing problem with time windows (DVRPTW) dengan fokus terhadap ketidakpastian jalan raya serta ketidakpastian pelanggan yang berubah-ubah, dimana pada proses pengiriman ke pelanggan terdapat jendela waktu atau batasan waktu pengiriman sampai ke pelanggan."
Armando Tirta Dwilaga_Kualifikasi.txt,berdasarkan tabel 2. 2 state of the art maka dapat disimpulkan mengenai kebaruan yang dapat diambil dari penelitian dengan topik peng ukuran kualitas melalui klasifikasi. ditemukan dari referensi referensi terkait yang dibagi menjadi kelompok objek data pertama adalah ban dan pendukung seperti roda dan sekrup bahwa convolutional neural networks cnn menjadi model yang paling banyak sekali digunakan. adapun pengelompokan dalam ketertarikan pengambilan topik penelitian ini berdasarkan referensi penelitian terdahulu di mana diketahui pertama berdas arkan penerapan convolutional neural networks cnn dalam industri untuk menemukan cacat pada barang barang seperti ban roda dan sekrup dengan teknik teknik yang digunakan dalam penelitian jenis ini dapat dipelajari dan diterapkan pada situasi khusus produk ban karena dilatarbelakangi beberapa penelitia n bahwa cacat ban seperti retak dan serpihan yang lolos dapat menimbulkan risiko keselamatan dan mempengaruhi keselamatan berkendara kendaraan. kedua adalah penggunaan convolutional neural networks cnn dalam pemeriksaan visual yang telah banyak digunakan dalam sistem inspeksi visual untuk mendeteksi mengklasifikasikan dan mengidentifikasi objek dan fitur dalam gambar. penelitian sebelumnya di bidang ini dapat memberikan wawasan tentang bagaimana convolutional neural networks cnn dapat diterapkan untuk menganalisis gambar produk ban dan melakukan pengukuran kualitas. ketiga segmentasi citra metode penting dalam analisis gambar untuk pengukuran kualitas adalah segmentasi gambar. penelitian sebelumnya mengenai segmentasi gambar dapat menawarkan strategi dan teknik yang dapat digunakan untuk mengisolasi daerah yang signifikan atau bermasalah dalam foto produk ban. keempat analisis dan klasifikasi f itur penelitian terkait analisis dan klasifikasi ciri ciri pada barang manufaktur dapat menjadi sumber inspira si untuk memahami ciri ciri yang relevan dengan produk dan bagaimana menerapkan teknik klasifikasi untuk menentukan kualitas. penggunaan dataset pada literature ada beberapa splitting data yang dilakukan yaitu pertama 80 training data 20 validation data kedua 80 training data 10 validation data 10 testing data ketiga 70 training data 0 validation data 10 testing data keempat 60 training data 20 validation data 20 testing data. penggunaan batch size 4 10 20 16 32 64 150 256 . penggunaan layer coonvolutional 2 3 5 7 22 layer pooling 2 3 5 . penggunaan learning rate 0.01 0.001 0.0001 0.000001 . penggunaan epoch 10 20 30 100 120 200. penggunaan nilai dropout 0.1 0.2 0.5. penggunaan input size 256x256 127x127 900x900 50x50 64x64 . penelitian yang dilakukan oleh vasan sridharan sreelatha vaithiyanatha 2023 melakukan perbandingan dilakukan untuk pretrained model vgg 16 googlenet alexnet resnet 50. permasalahan yang ditimbulkan oleh masing masing jurnal referensi dominan seperti dalam beberapa penelitian yang menggambarkan dominansi permasalahan seperti wang guo lu et al 2019 permasalahan penggunaan algoritma convolutional neural networks cnn dengan arsitektur convolutional pooling fully convolutional network mungkin tidak sensitif terhadap cacat kecil pada gambar ban seperti gelembung karena hilangnya detail yang disebabkan oleh operasi pengumpulan data. dilanjutkan oleh penelitian wu jiao sun et al 2021 penelitian ini mengakui bahwa hasil deteksi cacat gelembung sedikit buruk dan menyarankan penelitian lebih lanjut dengan menggunakan kombinasi metode deteksi langsung dan tidak langsung. li fan zhang et al 2021 menyatakan meskipun algoritma ini berhasil dalam mendeteksi berbagai jenis cacat masih terdapat kebutuhan untuk meningkatkan deteksi pada jenis cacat tertentu seperti gelembung yang memiliki perbedaan yang halus dari bagian sekitarnya. permasalahan yang terjadi masalah sensitivitas terhadap cacat kecil pada gambar ban dapat diatasi dengan menggunakan algoritma convolutional neural networks cnn dengan membangun model atau kerangka kerja menggunakan keras sebuah library deep learning yang dirancang untuk mempermudah proses pengembangan dan eksperimen model jaringan saraf . membangun model menggunakan keras sebenarnya mendefinisikan arsitektur model dengan menambahkan lapisan lapisan yang sesuai. lapisan lapisan tersebut akan membentuk struktur atau arsitektur dari model yang kemudian dapat dilatih dan dievaluasi. keras menyediakan berbagai model pretrained yang dapat digunakan dengan menambahkan lapisan lapisan convolutional max pooling 2d flatten dan dense fully connected layeri yang akan membantu model untuk mempelajari fiturfitur yang lebih spesifik terkait dengan gambar ban dan meningkatkan sesitivitas terhadap cacat. pengembangan algoritma convolutional neural networks cnn salah satunya den gan melakukan perbandingan pada kompone nkomponen di dalam nya berdasarkan referensi sumber penelitian terdahulu sehingga membentuk perbandingan versi baru yang dibuat seperti melakukan perbandingan penggunaan layer yang sama ko nvulasi dan pooling mulai dari 3 4 5 6 layer perbandingan penggunaa n seberapa banyak jumlah epoch 20 50 100 perbandingan format splitting data 8020 602020 702010 801010 perbandingan penggunaan algoritma optimasi stochastic gradient descent sgd root mean square propagation rmsprop dan adaptive momentum adam dan perbandingan penggunaan learning rate 0.001 0.0001 dan 000001. melakukan evaluasi dan penyesuaian di mana setelah melatih model dengan kumpulan data maka harus menilai performanya menggunakan ukuran terkait seperti skor f1 akurasi presisi dan perolehan . sehingga meningkatkan sensitivitas terhadap cacat gambar ban dapat dicapai dengan menggabungkan teknik deteksi langsung dan tidak langsung menambahkan lebih banyak lapisan dan menggunakan model terlatih.,2 state of the art maka dapat disimpulkan mengenai kebaruan yang dapat diambil dari penelitian dengan topik peng ukuran kualitas melalui klasifikasi. penelitian sebelumnya di bidang ini dapat memberikan wawasan tentang bagaimana convolutional neural networks cnn dapat diterapkan untuk menganalisis gambar produk ban dan melakukan pengukuran kualitas. permasalahan yang terjadi masalah sensitivitas terhadap cacat kecil pada gambar ban dapat diatasi dengan menggunakan algoritma convolutional neural networks cnn dengan membangun model atau kerangka kerja menggunakan keras sebuah library deep learning yang dirancang untuk mempermudah proses pengembangan dan eksperimen model jaringan saraf . keras menyediakan berbagai model pretrained yang dapat digunakan dengan menambahkan lapisan lapisan convolutional max pooling 2d flatten dan dense fully connected layeri yang akan membantu model untuk mempelajari fiturfitur yang lebih spesifik terkait dengan gambar ban dan meningkatkan sesitivitas terhadap cacat. pengembangan algoritma convolutional neural networks cnn salah satunya den gan melakukan perbandingan pada kompone nkomponen di dalam nya berdasarkan referensi sumber penelitian terdahulu sehingga membentuk perbandingan versi baru yang dibuat seperti melakukan perbandingan penggunaan layer yang sama ko nvulasi dan pooling mulai dari 3 4 5 6 layer perbandingan penggunaa n seberapa banyak jumlah epoch 20 50 100 perbandingan format splitting data 8020 602020 702010 801010 perbandingan penggunaan algoritma optimasi stochastic gradient descent sgd root mean square propagation rmsprop dan adaptive momentum adam dan perbandingan penggunaan learning rate 0.001 0.0001 dan 000001. melakukan evaluasi dan penyesuaian di mana setelah melatih model dengan kumpulan data maka harus menilai performanya menggunakan ukuran terkait seperti skor f1 akurasi presisi dan perolehan . sehingga meningkatkan sensitivitas terhadap cacat gambar ban dapat dicapai dengan menggabungkan teknik deteksi langsung dan tidak langsung menambahkan lebih banyak lapisan dan menggunakan model terlatih.
Devi Resviani_KUALIFIKASI.txt,"Penelitian Cerrada et al. (2022) mengusulkan penggunaan sinyal arus sebagai metode non-intrusif untuk diagnosis kesalahan bantalan, mencapai presisi tinggi dengan metode LAMDA. Penelitian ini menawarkan solusi yang lebih sederhana dan efisien biaya dibandingkan analisis getaran tradisional, menggabungkan pendekatan berbasis data yang telah diterapkan dalam penelitian sebelumnya. Setiap penelitian membangun fondasi yang sebelumnya dan memperluas metode yang digunakan untuk diagnosis dan prediksi kerusakan kompresor reciprocating. Hal ini menunjukkan perkembangan dari analisis sederhana sinyal AE ke penggunaan kombinasi metode machine learning dan data sensor yang lebih kompleks. Sebagaimana penelitian yang akan diusulkan, pengembangan model prediksi kegagalan mesin bertujuan untuk menciptakan sistem pemeliharaan prediktif yang efektif, yang dapat membantu organisasi dalam mengoptimalkan operasi dalam meminimalkan risiko kerusakan. Konteks analisis penelitian sebelumnya mengenai diagnosis dan prediksi kerusakan pada kompresor reciprocating, diagram fishbone dapat digunakan untuk menggambarkan faktor-faktor kunci yang berkontribusi terhadap pengembangan teknologi dan metodologi dalam bidang ini. Berikut diagram fishbone yang mempengaruhi penelitian usulan pengembangan prediksi kegagalan pada kompresor reciprocating yang dapat dilihat pada Gambar 2.4.","Konteks analisis penelitian sebelumnya mengenai diagnosis dan prediksi kerusakan pada kompresor reciprocating, diagram fishbone dapat digunakan untuk menggambarkan faktor-faktor kunci yang berkontribusi terhadap pengembangan teknologi dan metodologi dalam bidang ini. Berikut diagram fishbone yang mempengaruhi penelitian usulan pengembangan prediksi kegagalan pada kompresor reciprocating yang dapat dilihat pada Gambar 2.4."
Erfiana Wahyuningsih_UK.txt,"Dalam melakukan perencanaan atau mendesain sebuah rangkaian SRAM, banyak metode yang ditawarkan, seperti yang nampak pada tabel 1. Berdasarkan beberapa penelitian terkait SRAM, untuk mewujudkan SRAM Low power dan High Read Stability, metode yang dapat dilakukan yakni GDI, m-GDI, FinFET, CNTFET, hingga Adiabatik. Namun yang akan menjadi focus utama penelitian ini yakni penerapan dari metode m-GDI (Modified Gate Diffusion Input). Desain sel m-GDI memanfaatkan input untuk bertindak sebagai 'sumber' dan 'penyimpan' untuk transistor MOS, yang mengurangi komponen konsumsi daya short-circuit dinamis menjadi nilai yang dapat diabaikan tanpa memerlukan pertimbangan desain sirkuit khusus. Oleh karena itu dipilih metode m-GDI sebab metode ini menawarkan solusi yang lebih efisien dalam hal konsumsi daya dan kompleksitas desain, yang sangat penting dalam pengembangan sirkuit digital yang hemat energi dan efisien[8]. Sebagai pandangan terkait metode m-GDI yang akan digunakan, pada salah satu gerbang AND yang dirangkai menggunakan komponen MOS, diperlukan sebanyak 6 transistor seperti yang tampak pada gambar 7.","Berdasarkan beberapa penelitian terkait SRAM, untuk mewujudkan SRAM Low power dan High Read Stability, metode yang dapat dilakukan yakni GDI, m-GDI, FinFET, CNTFET, hingga Adiabatik. Oleh karena itu dipilih metode m-GDI sebab metode ini menawarkan solusi yang lebih efisien dalam hal konsumsi daya dan kompleksitas desain, yang sangat penting dalam pengembangan sirkuit digital yang hemat energi dan efisien[8]."
Fitriana Indah Pramitasari_Kualifikasi.txt,berdasarkan hasil kajian tabel 2.2 dapat dilakukan pengembangan model koperasi petani untuk produk kentang dengan tujuan ketahanan pangan dan mengoptimalkan rantai pasok. model platform koperasi petani berdasarkan economic sharing dan prinsip perkoperasian. peluang terbesar dalam penelitian ini seperti yang dijelaskan pada bab i adalah sebagai berikut. 1. transportasi digital di bidang pertanian merupakan tren penting dalam praktik dan tata kelola yang berkelanjutan. teknologi blockchain yang terdesentralisasi dapat menjamin keamanan data yang lebih besar dan menawarkan peluang untuk menciptakan aset dan in formasi digital dengan tingkat kekekalan dan transparansi yang tinggi 2. artificial neural network adalah jenis algoritma pembelajaran mesin yang terinspirasi oleh struktur dan fungsi otak manusia. dalam konteks manajemen rantai pasok ann dapat digunakan untuk peramalan 25 permintaan optimalisasi inventaris perencanaan logistik dan deteksi anomali. 3. safety stock merupakan salah satu metode yang digunakan untuk menghindari resiko kehabisan stok. sehingga dalam rantai pasok inventory management yang efektif dapat memastikan layanan yang terbaik kepada pelanggan dan mempertahankan reputasi perusahaan.,berdasarkan hasil kajian tabel 2.2 dapat dilakukan pengembangan model koperasi petani untuk produk kentang dengan tujuan ketahanan pangan dan mengoptimalkan rantai pasok. model platform koperasi petani berdasarkan economic sharing dan prinsip perkoperasian.
KUALIFIKASI_Riya Widayanti.txt,"Dalam penelitian lanjutan penerapan BLockchain memperhatikan aspek governance yaitu pada permission model dan trust model dimana level skema pengkodifikasinya berada macro level yaitu tata kelola organisasi, akuntabilitas, dan pengeawasannya. Pada level meso, aspek mekanisme pengambilan keputusan, insentif dan konsensus pada smartcontract. Beberapa masalah yang dirangkum pada tata kelola data pendidikan tinggi adalah masalah kertas dan penerapan teknologi digital, mulai dari otoritas keaslian data akedemik, adanya tuntutan pihak ketiga dalam memanfaat data akadmik pendidikan tinggi. Dalam trust model dalam sistem terdesentralisasi telah dilakukan penelitian pada DApps Ecosystem yang dipetakan dalam arsitektur Blockchain sebagai penyimpanan data.","Dalam penelitian lanjutan penerapan BLockchain memperhatikan aspek governance yaitu pada permission model dan trust model dimana level skema pengkodifikasinya berada macro level yaitu tata kelola organisasi, akuntabilitas, dan pengeawasannya. Pada level meso, aspek mekanisme pengambilan keputusan, insentif dan konsensus pada smartcontract."
Kualifikasi Witta Listiya Ningrum.txt,"Pengembangan menggunakan Large Language Model (LLM) ini mampu menjembatani modalitas dengan berbagai jenis media yang digunakan seperti teks, gambar, video dan suara. Penelitian yang sudah dilakukan (Feilong, 2023) dapat mengubah multimodal (gambar, suara dan video) kedalam bahasa Asing. Penelitian yang dilakukan (Junnan, 2023) menggunakan model BLIP-2, dimana BLIP-2 ini mampu menjembatani modalitas dengan transformator kueri yang sudah dilatih. Penelitian yang dilakukan (Chenyang, 2023) Mampu mengintegrasikan informasi visual, audio dan tekstual menggunakan MACAW-LLM. Meskipun kinerja LLM dalam pemrosesan dan pembuatan teks sudah mengesankan, ada potensi keuntungan tambahan dalam mengintegrasikan LLM dengan jaringan syaraf lainnya. Menurut (Hong Fan, 2021) Melakukan penelitian untuk mendeteksi toksisitas menggunakan BERT. Hasil evaluasi dalam melakukan klasifikasi menggunakan BERT menunjukkan bahwa BERTmemiliki kemampuan klasifikasi dan memprediksi komentar beracun dengan tingkat akurasi yang tinggi. Dengan metode ini, peneliti ingin melakukan pengembangan klasifikasi multimodal dengan jenis media teks, image dan video menggunakan LLM agar nantinya dapat lebih efektif dalam menangani toksisitas di lingkup sosial media.","Pengembangan menggunakan Large Language Model (LLM) ini mampu menjembatani modalitas dengan berbagai jenis media yang digunakan seperti teks, gambar, video dan suara. Dengan metode ini, peneliti ingin melakukan pengembangan klasifikasi multimodal dengan jenis media teks, image dan video menggunakan LLM agar nantinya dapat lebih efektif dalam menangani toksisitas di lingkup sosial media."
Kualifikasi_Aris Gunaryati.txt,"Berdasarkan tinjauan yang sudah dibaca, maka terdapat kelebihan dan kekurangan yang diperoleh dari hasil penelitiannya, yaitu :
Berdasarkan perbandingan telaah tersebut, pada penelitian ini akan diusulkan sebuah metode untuk menghasilkan model peramalan yang sesuai untuk data runtun waktu yang ada, yaitu data jumlah kasus harian Covid 19 di Jakarta dengan metode Hybrid ARIMA-QNN berdasarkan dataset dari situs https://corona.jakarta.go.id tanggal 6 Maret 2020 sampai 30 Juni 2021 sebagai data training dan nanti akan diprediksi untuk tanggal 1 Juli 2021 sampai dengan 31 Juli 2021 sebagai data uji. Metode Hybrid ARIMA-QNN diusulkan dengan harapan akan memberikan nilai   peramalan   yang   lebih   akurat   dengan   presisisi   yang   tinggi","Berdasarkan tinjauan yang sudah dibaca, maka terdapat kelebihan dan kekurangan yang diperoleh dari hasil penelitiannya, yaitu :
Berdasarkan perbandingan telaah tersebut, pada penelitian ini akan diusulkan sebuah metode untuk menghasilkan model peramalan yang sesuai untuk data runtun waktu yang ada, yaitu data jumlah kasus harian Covid 19 di Jakarta dengan metode Hybrid ARIMA-QNN berdasarkan dataset dari situs https://corona.jakarta.go.id tanggal 6 Maret 2020 sampai 30 Juni 2021 sebagai data training dan nanti akan diprediksi untuk tanggal 1 Juli 2021 sampai dengan 31 Juli 2021 sebagai data uji. Metode Hybrid ARIMA-QNN diusulkan dengan harapan akan memberikan nilai   peramalan   yang   lebih   akurat   dengan   presisisi   yang   tinggi"
Kualifikasi_Rama Dian Syah.txt,"Pada tabel 2.1 disajikan ringkasan penelitian berupa nama peneliti, judul artikel, metode, hasil penelitian dan keterbatasan. Hasil penelitian pada masing- masing artikel berupa hasil pengujian metode yang diusulkan peneliti. Pengujian tersebut menghasilkan nilai entropi, number of pixel change rate (NPCR), unified average changing intensity (UACI), vertical correlation (VC), horizontal correlation (HC), diagonal correlation (DC), mean squre error (MSE) dan peak signal noise to ratio (PSNR). Peneliti (Lone et al., 2021), metode enkripsi dan dekripsi menggunakan kombinasi dari algoritma Random RMAC, Henon Map dan Logistic Map yang dilakukan hanya pada citra berwarna ukuran 256 x 256. Peneliti (Sabir & Guleria, 2021) juga melakukan penelitian hanya pada citra berwarna 512 x 512 menggunakan kombinasi algoritma RMAC, RP2DfrHT dan Arnold Map. Sedangkan, peneliti (Benlashram et al., 2020) melakukan penelitian hanya pada citra Greyscale dengan ukuran 256 x 256 menggunakan kombinasi pengacakan piksel, operasi XOR dan 3D Chaotic Map. Peneliti (Ratna et al., 2021) melakukan metode enkripsi dengan menggunakan kombinasi algoritma Logistic Map dan 2DPSNCM dengan hasil penelitian berupa nilai korelasi dan entropi, tetapi tidak melakukan pengujian nilai UACI dan NPCR. Peneliti (Elghandour et al., 2021) melakukan enkripsi dengan kombinasi metode Logistic Map dan 2DPSNCM dengan hasil pengujian NPCR, UACI, korelasi dan Entropi. Dari beberapa penelitian tersebut maka pada penelitian ini dilakukan kriptografi berbasis chaotic menggunakan algoritma Cat Map, Henon Map dan Logistic Map pada citra digital Grayscale dan berwarna dengan melakukan beberapa pengujian dari hasil enkripsi dan dekripsi hasil proses metode algoritma yang diusulkan.","Pada tabel 2.1 disajikan ringkasan penelitian berupa nama peneliti, judul artikel, metode, hasil penelitian dan keterbatasan. Dari beberapa penelitian tersebut maka pada penelitian ini dilakukan kriptografi berbasis chaotic menggunakan algoritma Cat Map, Henon Map dan Logistic Map pada citra digital Grayscale dan berwarna dengan melakukan beberapa pengujian dari hasil enkripsi dan dekripsi hasil proses metode algoritma yang diusulkan."
