nama_dokumen,kalimat,summary
Alfharizky Fauzi_Kualifikasi.txt,penelitian berbagai penelitian yang telah dilakukan belum terdapat identifikasi penyakit kulit pada manusia dengan teknis pendekatan data klinis dan non klinis . dengan mengintegrasikan data dari berbagai sumber termasuk rekam medis pasien informasi genetik paparan lingkungan dan kebiasaan gaya hidup serta image dari kulit yang terinfeksi virus penyakit kulit dengan bantuan analisis pengolahan citra berbasis komputer padahal dalam mendiagnosa penyakit kulit pada manusia para ahli sering mengalami kesulitan untuk mendeteksi adanya perbedaan dimana set iap kali terdeteksi selalu menunjukan hasil yang berbeda dengan diagnosis sebenarnya. maka terdapat peluang untuk melaku kan penelitian pada permasalahan ini yang menjadi topik penelitian. merujuk pada penelitian yang telah banyak dilakukan proses kerja rangkaian pembangunan sistem dalam mengidentifikasi adanya penyakit kulit untuk mengenalinya sebagai suatu jenis penyakit maupun kelainan pada kulit menggunakan pengolahan citra akan berisi tiga langkah utama yaitu segmentasi citra ekstraksi fitur dan klasifikasi objek. problem yang ada pada segmentasi citra penyakit kulit adalah 1 segmentasi pada wilayah terlihat tidak jelas karena citra penyakit kulit direpresentasikan dalam citra sangat kecil yang memiliki karakter yang khas yaitu hanya memiliki intensitas warna lebih terang sehingga sulit membedakan kemiripannya dengan beberapa penyakit kulit dengan demikian akan sulit mendefinisikan bentuk penyakit kulit secara spesifik. 2 ketidakteraturan bentuk dari kelainan kulit dan ukuran serta rendahnya intensitas kontras antar penyakit kulit yang juga mirip dengan jaringan kulit di sekitarnya. 3 citra penyakit kulit memili ki resolusi rendah kontras yang lemah dan memiliki banyak noise yang dapat mengubah intensitas piksel sehingga klasifikasi maupun identifikasi menjadi tidak pasti. 4 warna kulit pada manusia terbilang sangat berbeda antara manusia yang satu dengan lain nya sehingga warna pada kelainan kulit juga dapat berubah yang menyebabkan identifikasi penyakit kulit menjadi sangan sulit untuk dibedakan. 5 identifikasi penyakit kulit di banyak penelitian hanya menunjukan jenis penyakit kulit tanpa adanya deskripsi y ang jelas untuk di lakukan penanganan dini. 6 sistem identifikasi penyakit kulit pada umunya hanya menggunakan data citra sebagai acuan identifkasi jenis penyakit kulit namun tidak menggunakan keluhan maupun rekam medis pasien sebagai identifikasi penyakit kulit secara dini. padahal pra diagnosis serta penanganan dini merupakan tindakan pencegahan dan pengobatan yang dapat menyelamatkan pasien pasien yang terkena kelainan pada kulit sebelum dilakukan tindakan lebih lanjut. maka diperlukan model algoritma identifikasi handal yang dapat mengidentifikasi penyakit kulit sebagai pra diagnosis dengan menggabungkan dua metode pengolahan data yaitu pengolaha data citra dan pengolahan data teks untuk dapat menangani permasalahan tersebut. berdasarkan batasan masalah yang ditelah ditetapkan uraian rumusan masalah agar fokus penelitian lebih terarah dan sesuai dengan yang diharapkan dengan berbagai pendekatan metode yang telah diusulkan oleh bebe rapa peneliti dapat diuraikan sebagai be rikut 1. bagaimana mengembangkan algoritma identifikasi image dan teks agar lebih baik dan dapat melakukan prediksi identifikasi terhadap image untuk mengenali teks hasil sebagai penyakit kulit serta penanganannya maupun sebaliknya teks untuk mengenali image sebagai penyakit kulit serta penangananya 2. bagaimana membangun model identifikasi penyakit kulit berdasarkan gabungan pengolahan image dan teks agar tercipta hybrid modelling untuk mengidentifikasi penyakit kulit melalui image teks maupun sebaliknya teksimage usulan bi directional image text matching 3. bagaimana membangun prototype system aplikasi berbantuan komputer yang tepat dan akurat untuk identifikasi adanya kelainan kulit yang diderita pasien sebagai tindakan pra diagnosis sehingga dapat diidentifikasi berdasarkan jenis penyakit kulit menggunakan usulan bi directional image text matching,3 citra penyakit kulit memili ki resolusi rendah kontras yang lemah dan memiliki banyak noise yang dapat mengubah intensitas piksel sehingga klasifikasi maupun identifikasi menjadi tidak pasti. 4 warna kulit pada manusia terbilang sangat berbeda antara manusia yang satu dengan lain nya sehingga warna pada kelainan kulit juga dapat berubah yang menyebabkan identifikasi penyakit kulit menjadi sangan sulit untuk dibedakan. berdasarkan batasan masalah yang ditelah ditetapkan uraian rumusan masalah agar fokus penelitian lebih terarah dan sesuai dengan yang diharapkan dengan berbagai pendekatan metode yang telah diusulkan oleh bebe rapa peneliti dapat diuraikan sebagai be rikut 1. bagaimana mengembangkan algoritma identifikasi image dan teks agar lebih baik dan dapat melakukan prediksi identifikasi terhadap image untuk mengenali teks hasil sebagai penyakit kulit serta penanganannya maupun sebaliknya teks untuk mengenali image sebagai penyakit kulit serta penangananya 2. bagaimana membangun model identifikasi penyakit kulit berdasarkan gabungan pengolahan image dan teks agar tercipta hybrid modelling untuk mengidentifikasi penyakit kulit melalui image teks maupun sebaliknya teksimage usulan bi directional image text matching 3. bagaimana membangun prototype system aplikasi berbantuan komputer yang tepat dan akurat untuk identifikasi adanya kelainan kulit yang diderita pasien sebagai tindakan pra diagnosis sehingga dapat diidentifikasi berdasarkan jenis penyakit kulit menggunakan usulan bi directional image text matching
Alifurrohman_Kualifikasi.txt,"Berdasarkan latar belakang yang telah dipaparkan, maka rumusan masalah yang dapat disusun sebagai berikut. 1. Bagaimana Deep Q-Network (DQN) dengan mekanisme Multi-Header Attention dapat diterapkan untuk menyelesaikan Dynamic Vehicle Routing Problem with Time Windows (DVRPTW)?",1. Bagaimana Deep Q-Network (DQN) dengan mekanisme Multi-Header Attention dapat diterapkan untuk menyelesaikan Dynamic Vehicle Routing Problem with Time Windows (DVRPTW)?
Armando Tirta Dwilaga_Kualifikasi.txt,berikut adalah rumusan masalah yang melandasi dalam penelitian ini 1. bagaimana membangun model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban 2. bagaimana mengimplementasikan dan menghasilkan usulan model algoritma convolutional neural networks cnn dalam membangun sistem deteksi cacat produk ban 3. bagaimana m engukur kinerja dan performa model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban,berikut adalah rumusan masalah yang melandasi dalam penelitian ini 1. bagaimana membangun model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban 2. bagaimana mengimplementasikan dan menghasilkan usulan model algoritma convolutional neural networks cnn dalam membangun sistem deteksi cacat produk ban 3. bagaimana m engukur kinerja dan performa model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban
Devi Resviani_KUALIFIKASI.txt,berdasarkan pada latar belakang masalah penelitian yang telah diuraikan dan sesuai dengan usulan topik penelitian maka dirumuskan masalah pokok yang harus diteliti adalah sebagai berikut 1. algoritma machine learning apa yang paling efektif untuk memprediksi kegagalan pada mesin kompresor reciprocating 2. bagaimana membangun model machine learning dari algoritma yang terpilih untuk memprediksi kegagalan pada mesin kompresor reciprocating 3. bagaimana membangun sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating 4. bagaimana kinerja sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating,berdasarkan pada latar belakang masalah penelitian yang telah diuraikan dan sesuai dengan usulan topik penelitian maka dirumuskan masalah pokok yang harus diteliti adalah sebagai berikut 1. algoritma machine learning apa yang paling efektif untuk memprediksi kegagalan pada mesin kompresor reciprocating 2. bagaimana membangun model machine learning dari algoritma yang terpilih untuk memprediksi kegagalan pada mesin kompresor reciprocating 3. bagaimana membangun sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating 4. bagaimana kinerja sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating
Erfiana Wahyuningsih_UK.txt,1. bagaimana mereduksi gerbang cmos dengan metode m gdi pada rangkaian sram 2. bagaimana menunjukkan kinerja rangkaian sram 6t dengan low power setelah jumlah transistor direduksi 3. apakah rangkaian transistor yang telah direduksi jumlahnya mampu mempertahankan kemampuan high read stability,1. bagaimana mereduksi gerbang cmos dengan metode m gdi pada rangkaian sram 2. bagaimana menunjukkan kinerja rangkaian sram 6t dengan low power setelah jumlah transistor direduksi 3. apakah rangkaian transistor yang telah direduksi jumlahnya mampu mempertahankan kemampuan high read stability
Fitriana Indah Pramitasari_Kualifikasi.txt,berdasarkan topik pembahasan pada penelitian ini mengenai perancangan model platform koperasi bagi para petani maka didapatkan beberapa rumusan masalah untuk mengetahui masalah yang akan dicari solusinya. rumusan masalah pada penelitian ini adalah sebagai berikut. 1. bagaimana proses perancangan model koperasi petani 6 2. bagaimana metode prediksi permintaan dengan ann di dalam blockchain yang digunakan untuk mengoptimalkan permintaan pelanggan di masa depan selama periode tertentu 3. bagaimana metode safety stock di dalam blockchain yang digunakan agar dapat mengoptimalkan stok dan permintaan tujuan penelitian untuk mengetahui target yang akan dicapai dalam penelitian ini.,berdasarkan topik pembahasan pada penelitian ini mengenai perancangan model platform koperasi bagi para petani maka didapatkan beberapa rumusan masalah untuk mengetahui masalah yang akan dicari solusinya. rumusan masalah pada penelitian ini adalah sebagai berikut.
KUALIFIKASI_Riya Widayanti.txt,penelitian dalam penelitian terkait dengan tata kelola data yang diterapkan pada perguruan tinggi dengan mengggunakan teknologi blockchain mengacu pada topikjudul penelitian dan tujuan umum yang akan dicapai yang telah diuraikan pada latar belakang masalah identifikasi dan list permasalahan utama yang akan diteliti. bagaimana menganalisis lapisan data dalam tata kelola data terkait program merdeka belajar berbasis blockchain bagaimana mengidentifikasi lapisan arsitektur dalam blockchain yang berfungsi sebagai penyimpan data bagaimana mengekplorasi aspek administrasi data pada blockchain bagaimana menilai tata kelola data terkait kualitas data yang akan dikembangkan dalam teknologi blockchain,penelitian dalam penelitian terkait dengan tata kelola data yang diterapkan pada perguruan tinggi dengan mengggunakan teknologi blockchain mengacu pada topikjudul penelitian dan tujuan umum yang akan dicapai yang telah diuraikan pada latar belakang masalah identifikasi dan list permasalahan utama yang akan diteliti. bagaimana menganalisis lapisan data dalam tata kelola data terkait program merdeka belajar berbasis blockchain bagaimana mengidentifikasi lapisan arsitektur dalam blockchain yang berfungsi sebagai penyimpan data bagaimana mengekplorasi aspek administrasi data pada blockchain bagaimana menilai tata kelola data terkait kualitas data yang akan dikembangkan dalam teknologi blockchain
Kualifikasi Witta Listiya Ningrum.txt,rumusan masalah pada penelitian ini difokuskan pada 1. bagaimana meng embangkan algoritma untuk merepresentasikan teks gambar dan video dari berbagai platform sosial media 2. bagaimana meng embangkan model klasifikasi toksisitas multimodal dengan metode large language model llm dengan jenis media teks gambar dan video,rumusan masalah pada penelitian ini difokuskan pada 1. bagaimana meng embangkan algoritma untuk merepresentasikan teks gambar dan video dari berbagai platform sosial media 2. bagaimana meng embangkan model klasifikasi toksisitas multimodal dengan metode large language model llm dengan jenis media teks gambar dan video
Kualifikasi_Aris Gunaryati.txt,berdasarkan latar belakang masalah tersebut maka yang menj adi rumusan masalah p ada penelitian ini ad alah 1. bagaimana pola data runtun w aktu pertambah an jumlah kasus ha rian covid 19 di jakarta dari tanggal 6 maret 2020 s ampai ta nggal 30 juni 2021 2. bagaimana membu at model peramalan yang sesuai dan cocok untuk data runtun waktu tersebut d engan metode arima 3. bagaimana membu at model peramalan data runtun waktu tersebut dengan metode neural network nn 4. bagaimana cara membu at model hybrid arima neural network arimann yang sesuai dan cocok dengan data runtun waktu tersebut 5. bagaimana mengembangkan model quantum arima neural network untuk data runtun waktu 6. bagaimana tingkat akurasi dan hasil peramalan untuk jumlah k asus harian covid 19 di jakarta p ada periode tanggal 1 juli sampai 31 juli 2020 berdasarkan modelmodel tersebut,berdasarkan latar belakang masalah tersebut maka yang menj adi rumusan masalah p ada penelitian ini ad alah 1. bagaimana pola data runtun w aktu pertambah an jumlah kasus ha rian covid 19 di jakarta dari tanggal 6 maret 2020 s ampai ta nggal 30 juni 2021 2. bagaimana membu at model peramalan yang sesuai dan cocok untuk data runtun waktu tersebut d engan metode arima 3. bagaimana membu at model peramalan data runtun waktu tersebut dengan metode neural network nn 4. bagaimana cara membu at model hybrid arima neural network arimann yang sesuai dan cocok dengan data runtun waktu tersebut 5. bagaimana mengembangkan model quantum arima neural network untuk data runtun waktu 6. bagaimana tingkat akurasi dan hasil peramalan untuk jumlah k asus harian covid 19 di jakarta p ada periode tanggal 1 juli sampai 31 juli 2020 berdasarkan modelmodel tersebut
Kualifikasi_Rama Dian Syah.txt,berdasarkan latar belakang yang telah diuraikan maka dapat dirumuskan rumusan masalah sebagai berikut 1. bagaimana mengembangkan metode kriptografi citra digital berbasis chaotic 2. bagaimana hasil pengujian dari proses enk ripsi dan dek ripsi yang dilakukan,berdasarkan latar belakang yang telah diuraikan maka dapat dirumuskan rumusan masalah sebagai berikut 1. bagaimana mengembangkan metode kriptografi citra digital berbasis chaotic 2. bagaimana hasil pengujian dari proses enk ripsi dan dek ripsi yang dilakukan
