nama_dokumen,kalimat,summary
Alifurrohman_Kualifikasi.txt,berdasarkan rumusan masalah yang telah dipaparkan tujuan penelitian dari penelitian ini sebagai berikut. 10 1. mengembangkan model berbasis deep q network dqn yang diperkaya dengan mekanisme multi header attention untuk menyelesaikan dynamic vehicle routing problem with time windows dvrptw. 2. menilai efektivitas model dqn dengan multi header attention dalam meningkatkan efisiensi pengiriman dan kepuasan pelanggan melalui penentuan rute optimal dalam kondisi yang dinamis. 3. menunjukkan kemampuan adaptasi model terhadap perubahan kondisi seperti fluktuasi lalu lintas kedatangan pelanggan baru dan batasan jendela waktu.,10 1. mengembangkan model berbasis deep q network dqn yang diperkaya dengan mekanisme multi header attention untuk menyelesaikan dynamic vehicle routing problem with time windows dvrptw. 2. menilai efektivitas model dqn dengan multi header attention dalam meningkatkan efisiensi pengiriman dan kepuasan pelanggan melalui penentuan rute optimal dalam kondisi yang dinamis.
Armando Tirta Dwilaga_Kualifikasi.txt,berikut adalah tujuan penelitian yang melandasi dalam penelitian ini 1. membangun model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban. 2. mengimplementasikan dan menghasilkan usulan model algoritma convolutional neural networks cnn dalam membangun sistem deteksi cacat produk ban. 3. mengukur kinerja dan performa model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban.,berikut adalah tujuan penelitian yang melandasi dalam penelitian ini 1. membangun model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban. 3. mengukur kinerja dan performa model algoritma convolutional neural networks cnn dalam melakukan klasifikasi cacat pada produk ban.
Bayu Kumoro.txt,"Sesuai dengan masalah penelitian yang telah diuraikan sebelumnya, maka tujuan yang ingin dicapai dalam penelitian ini adalah:
Menghasilkan metode LSB pada FPGA. Mengoptimalkan jumlah komponen, clock, dan capacity pada FPGA. Menghasilkan metode penyisipan dan ekstraksi pesan rahasia pada FPGA. Mengetahui pengaruh integritas data sebelum dan sesudah proses steganografi. Membandingkan hasil penelitian dengan penelitian sebelumnya.","Sesuai dengan masalah penelitian yang telah diuraikan sebelumnya, maka tujuan yang ingin dicapai dalam penelitian ini adalah:
Menghasilkan metode LSB pada FPGA. Menghasilkan metode penyisipan dan ekstraksi pesan rahasia pada FPGA."
Devi Resviani_KUALIFIKASI.txt,adapun tujuan dari penelitian ini secara umum adalah memberikan solusi untuk pemeliharaan prediktif pada mesin kompresor reciprocating menggunakan machine learning . selain itu secara khusus tujuan penelitian ini adalah sebagai berikut 1. membandingkan efektivitas berbagai algoritma machine learning untuk memprediksi kegagalan pada mesin kompresor reciprocating. 2. menghasilkan model machine learning dari algoritma yang terpilih untuk memprediksi kegagalan pada mesin kompresor reciprocating. 3. menghasilkan prototipe sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating. 4. mengevaluasi kinerja sistem peringatan pemeliharaan prediktif berbasis machine learning pada pada mesin kompresor reciprocating.,3. menghasilkan prototipe sistem peringatan pemeliharaan prediktif berbasis machine learning pada mesin kompresor reciprocating. 4. mengevaluasi kinerja sistem peringatan pemeliharaan prediktif berbasis machine learning pada pada mesin kompresor reciprocating.
Erfiana Wahyuningsih_UK.txt,1. mereduksi jumlah transistor pada rangkaian sram dengan menggunakan metode m gdi. 2. mampu menunjukkan kinerja dari penggunaan low power pada rangkaian sram 6t 3. mampu mempertahankan high read stability pada rangkaian sram 6t,1. mereduksi jumlah transistor pada rangkaian sram dengan menggunakan metode m gdi. 2. mampu menunjukkan kinerja dari penggunaan low power pada rangkaian sram 6t 3. mampu mempertahankan high read stability pada rangkaian sram 6t
Fitriana Indah Pramitasari_Kualifikasi.txt,berikut tujuan penelitian ini adalah sebagai berikut. 1. menghasilkan platform koperasi petani kentang. 2. menghasilkan data prediksi permintaan di masa depan selama periode tertentu dan dicatat dalam blockchain. 3. menghasilkan data inventory secara realtime dan dicatat dalam blockchain.,1. menghasilkan platform koperasi petani kentang. 3. menghasilkan data inventory secara realtime dan dicatat dalam blockchain.
Ike Putri Kusumawijaya (99216004).txt,"Tujuan dari penelitian ini adalah mengembangkan metode untuk mengidentifikasi pergerakan anomali pada kerumunan berbasis generatif menggunakan Generative Adversarial Network (GAN) dan menggunakan pemrosesan video secara real time. Pengembangan penelitian GAN dengan menggunakan representasi video secara realtime memungkinkan dapat diimplementasikan secara langsung di tempat publik. Penelitian ini juga bertujuan untuk melakukan deteksi pergerakan pada kerumunan dalam tingkat kepadatan yang berbeda, sehingga dapat mengklasifikasi pergerakan kerumunan yang bersifat anomali maupun normal.",Tujuan dari penelitian ini adalah mengembangkan metode untuk mengidentifikasi pergerakan anomali pada kerumunan berbasis generatif menggunakan Generative Adversarial Network (GAN) dan menggunakan pemrosesan video secara real time. Pengembangan penelitian GAN dengan menggunakan representasi video secara realtime memungkinkan dapat diimplementasikan secara langsung di tempat publik.
KUALIFIKASI_Riya Widayanti.txt,adapun tujuan penelitiannya adalah sebagai berikut menghasilkan skema logika data yang digunakan dalam aplikasi block chain yang menjadi ko nsensus atau perjanjian bersama dalam studi kasus menghasilan arshitektur blockchain yang digunakan dalam konsensus bersama memetakan as pek data privasi yang digunakan dengan aturan kepatuhan data antara lain dengan uu ite,adapun tujuan penelitiannya adalah sebagai berikut menghasilkan skema logika data yang digunakan dalam aplikasi block chain yang menjadi ko nsensus atau perjanjian bersama dalam studi kasus menghasilan arshitektur blockchain yang digunakan dalam konsensus bersama memetakan as pek data privasi yang digunakan dengan aturan kepatuhan data antara lain dengan uu ite
Kualifikasi Witta Listiya Ningrum.txt,tujuan dalam penelitian ini adalah melakukan pengembangan model klasifikasi toksisitas multimodal dengan kombinasi jenis media teks gambar dan video pada platform sosial media menggunakan large language model llm. pengembangan ini dilakukan untuk meningkatkan kemampuan deteksi dan pemahaman konten berbahaya secara menyeluruh di platform sosial media. secara khusus dapat dijabarkan sebagai berikut 1. mengembangkan algoritma untuk merepresentasikan teks gambar dan video dari berbagai platform sosial media seperti twitter instagram dan tiktok. 2. mengembangkan model klasifikasi toksisitas menggunakan multimodal dengan metode large language model llm dengan jenis media teks gambar dan video.,tujuan dalam penelitian ini adalah melakukan pengembangan model klasifikasi toksisitas multimodal dengan kombinasi jenis media teks gambar dan video pada platform sosial media menggunakan large language model llm. 2. mengembangkan model klasifikasi toksisitas menggunakan multimodal dengan metode large language model llm dengan jenis media teks gambar dan video.
Kualifikasi_Andi Asnur Pranata M. H. (99219024).txt,"Berdasarkan uraian pada latar belakang penelitian, maka tujuan dalam disertasi ini sebagai berikut :
a. Mengetahui kebutuhan para pihak yang terlibat dalam membangun suatu sistem informasi manajemen untuk proyek konstruksi. b. Merancang proses sistem sesuai dengan kebutuhan para pihak yang terlibat dalam membangun suatu sistem informasi manajemen untuk proyek konstruksi. c. Merancang suatu sistem basis data yang sesuai dengan sistem yang akan dibangun. d. Merancang tampilan antar muka untuk sistem yang akan dibangun. e. Mengetahui sistem yang dibangun sesuai rancangan dan berjalan dengan baik.",b. Merancang proses sistem sesuai dengan kebutuhan para pihak yang terlibat dalam membangun suatu sistem informasi manajemen untuk proyek konstruksi. e. Mengetahui sistem yang dibangun sesuai rancangan dan berjalan dengan baik.
Kualifikasi_Aris Gunaryati.txt,tujuan penelitian berdasarkan rumus an masalah di atas maka tujuan penelitian ini adalah sebagai berikut 1. mempel ajari pola data runtun waktu pertambahan jumlah kasus harian covid 19 di jakarta dari tangg al 6 maret 2020 sampai tangg al 30 juni 2021 apakah merupakan runtun waktu seasonal atau non seasonal 2. menentukan model peramal an arima yang sesuai dengan data runtun w aktu tersebut 3. menentukan model peramalan untuk data runtun waktu tersebut meng gunakan metode neural network nn 4. menentukan model peramalan hybrid arima neural network untuk data runtun waktu tersebut 5. membuat dan mengembangkan model hybrid quantum arima nn yang dapat mem berikan hasil peramalan yang lebih akurat 6. membuat analisis hasil peramalan untuk jumlah kasus harian covid 19 di jakarta pada periode tanggal 1 juli sampai 31 juli 2020,tujuan penelitian berdasarkan rumus an masalah di atas maka tujuan penelitian ini adalah sebagai berikut 1. mempel ajari pola data runtun waktu pertambahan jumlah kasus harian covid 19 di jakarta dari tangg al 6 maret 2020 sampai tangg al 30 juni 2021 apakah merupakan runtun waktu seasonal atau non seasonal 2. menentukan model peramal an arima yang sesuai dengan data runtun w aktu tersebut 3. menentukan model peramalan untuk data runtun waktu tersebut meng gunakan metode neural network nn 4. menentukan model peramalan hybrid arima neural network untuk data runtun waktu tersebut 5. membuat dan mengembangkan model hybrid quantum arima nn yang dapat mem berikan hasil peramalan yang lebih akurat 6. membuat analisis hasil peramalan untuk jumlah kasus harian covid 19 di jakarta pada periode tanggal 1 juli sampai 31 juli 2020
Kualifikasi_I Komang Sugiartha.txt,"Tujuan dari penelitian ini adalah:
1. Membangun model prediksi terjadinya stunting pada suatu wilayah di Indonesia berbasis Generative Adversarial Networks. 2. Mengembangkan metode machine learning berbasis Generative Adversarial Networks dalam melakukan prediksi terjadinya stunting pada suatu wilayah di Indonesia.",Membangun model prediksi terjadinya stunting pada suatu wilayah di Indonesia berbasis Generative Adversarial Networks. Mengembangkan metode machine learning berbasis Generative Adversarial Networks dalam melakukan prediksi terjadinya stunting pada suatu wilayah di Indonesia.
Kualifikasi_Nur Azizah.txt,"Tujuan dari penelitian ini adalah untuk membuat dua model klasifikasi, yaitu: Model yang dapat menghasilkan diagnosis awal bagi semua pasien dan diagnosis akhir bagi pasien dengan BTA negatif. Model ini diharapkan dapat menjadi referensi dalam pengembangan diagnosis tuberkulosis menggunakan deep learning sesuai dengan kondisi di Indonesia. Manfaat untuk jangka panjangnya adalah bila diagnosis lebih tepat diketahui, maka diharapkan dapat membantu mengurangi kemungkinan penyebaran kuman TB. Hal ini akan mengurangi munculnya kasus baru dan akan meningkatkan jumlah Case Detection Rate. Selain itu juga dapat mengurangi jumlah pasien yang mendapatkan tindakan dan terapi obat yang berlebihan dan tidak tepat sasaran (over-treat atau over-diagnose).","Tujuan dari penelitian ini adalah untuk membuat dua model klasifikasi, yaitu: Model yang dapat menghasilkan diagnosis awal bagi semua pasien dan diagnosis akhir bagi pasien dengan BTA negatif. Model ini diharapkan dapat menjadi referensi dalam pengembangan diagnosis tuberkulosis menggunakan deep learning sesuai dengan kondisi di Indonesia."
Kualifikasi_Rama Dian Syah.txt,sesuai dengan masalah penelitian yang telah diuraikan sebelumnya maka tujuan yang ingin dicapai dalam penelitian ini adalah 1. menghasilkan pengembangan metode kriptografi citra digital berbasis chaotic . 2. mengimplementasi rancangan pengembangan metode kriptografi citra digital berbasis chaotic dan melakukan pengujian.,sesuai dengan masalah penelitian yang telah diuraikan sebelumnya maka tujuan yang ingin dicapai dalam penelitian ini adalah 1. menghasilkan pengembangan metode kriptografi citra digital berbasis chaotic . 2. mengimplementasi rancangan pengembangan metode kriptografi citra digital berbasis chaotic dan melakukan pengujian.
Kualifikasi_Remigius.txt,dengan masalah penelitian tersebut maka tujuan penelitian ini ditetapkan sebagai berikut. 1. menganalisis pengembangan sistem pembelajaran mengenai perkembangan arsitektur berbasis metavers e di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma. 2. menganalisis keterlibatan komunitas dan persepsi pengguna dalam sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang dikembangkan di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma. 3. menguji sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang melibatkan komunitas dan persepsi pengguna di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma.,2. menganalisis keterlibatan komunitas dan persepsi pengguna dalam sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang dikembangkan di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma. 3. menguji sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang melibatkan komunitas dan persepsi pengguna di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma.
MetaMeysawati_KUALIFIKASI(99216026).txt,"Berdasarkan masalah penelitian yang telah diuraikan tersebut, maka tujuan yang ingin dicapai dalam penelitian adalah sebagai berikut :
1. Menghasilkan MFCC (Mel-Frequency Cepstrum Coefficients) yang dapat mengidentifikasi ciri dari masing-masing cuplikan (trailer)
2. Menghasilkan algoritma pengklasifikasian genre berdasarkan dari cuplikan (trailer) film dengan menggunakan metode Support Vector Machine (SVM). 3. Mendapatkan kumpulan dataset yang mewakili semua fitur agar kelengkapan data trainer terpenuhi.","Menghasilkan MFCC (Mel-Frequency Cepstrum Coefficients) yang dapat mengidentifikasi ciri dari masing-masing cuplikan (trailer)
2. Menghasilkan algoritma pengklasifikasian genre berdasarkan dari cuplikan (trailer) film dengan menggunakan metode Support Vector Machine (SVM)."
