nama_dokumen,summary
Alfharizky Fauzi_Kualifikasi.txt,dengan perkembangan teknologi terutama di bidang kecerdasan buatan artificial intelligence atau ai ada potensi untuk mengoptimalkan proses diagnosis penyakit kulit. dalam beberapa tahun terakhir kemajuan dalam bidang kecerdasan buatan telah membuka peluang baru dalam peningkatan diagnosis penyakit kulit. pemanfaatan algoritma kecerdasan buatan telah terbukti efektif dalam mendukung identifikasi penyakit kulit yang dapat meningkatkan akurasi dan kecepatan diagnosis. penelitian sebelumnya telah menyoroti potensi pengembangan metode identifikasi pra diagnosis penyakit kulit melalui pemanfaatan algoritma kecerdasan buatan. hasil akhir fitur warna dan tekstur yang digabungkan meningkatkan akurasi pengenalan hing ga lebih dari 90. pada penelitian fauzi dzulfiqar wibowo et.al 2022 membahas tentang deteksi penyakit kulit di indonesia menggunakan cnn dan pembelajaran ensemble . hasil akhir adalah m odel dapat ditransfer ke tugas baru dengan akurasi 6176. dan pada penelitian archana et.al 2019 membahas klasifikasi m odel deteksi penyakit kulit menggunakan pemrosesan gambar untuk aksesibilitas pedesaan . pada penelitian ini mengusulkan pendekatan baru terhadap pra diagnosis penyakit kulit manusia di indonesia melalui pengembangan metode identifikasi berbasis ai yang memanfaatkan data klinis dan non klinis. dengan mengintegrasikan data dari berbagai sumber termasuk rekam medis pasien informasi genetik paparan lingkungan dan kebiasaan gaya hidup metode yang diusulkan ini bertujuan untuk meningkatkan akurasi dan kecepatan diagnosis penyakit kulit sehingga memberikan hasil yang lebih baik bagi pasien. dengan demikian penelitian ini bertujuan untuk mengisi kesenjangan pengetahuan dengan mengembangkan pendekatan ilmiah yang lebih sistematis dalam pra diagnosis penyakit kulit menggunakan algoritma kecerdasan buatan. melalui investigasi yang komprehensif diharapkan dapat dihasilkan metode identifikasi yang efisien dan akurat yang mampu mendukung praktik klinis dan nonklinis dalam menghadapi berbagai tantangan dalam diagnosis penyakit kulit. pengembangan metode identifikasi ini diharapkan dapat meningkatkan aksesibilitas terhadap perawatan kesehatan kulit mengurangi waktu tunggu untuk konsultasi serta memberikan kontribusi signifikan dalam peningkatan kualitas perawatan pasien. selain itu p enelitian ini juga diharapkan dapat memberikan landasan bagi pengembangan teknologi medis yang lebih lanjut dalam bidang dermatologi serta memberikan dampak positif dalam perluasan cakupan layanan kesehatan kulit secara global.
Alifurrohman_Kualifikasi.txt,"Machine Learning (ML) adalah cabang dari kecerdasan artifisial yang memanfaatkan teknik statistik dan algoritma agar dapat belajar dan membuat keputusan atau prediksi berdasarkan data. Dengan menggunakan algoritma ML, komputer dapat meningkatkan efisiensi dalam melakukan berbagai jenis pekerjaan tanpa harus di program secara eksplisit untuk setiap tugasnya (Karimi-Mamaghan, M., Mohammadi, M., Meyer, P., Karimi-Mamaghan, A. M., & Talbi, E. G, 2022). ML memanfaatkan berbagai teknik dari statistik, teori probabilitas, matematika, dan ilmu komputer untuk membangun model dari dataset yang ada. Machine learning adalah metode yang secara otomatis menganalisis data untuk mendapatkan aturan, kemudian menggunakan aturan ini untuk memprediksi data yang tidak diketahui. Algoritma dan metode statistik diterapkan untuk memberikan komputer kemampuan untuk ""belajar"" dari data dan meningkatkan kinerjanya dalam memecahkan masalah tanpa harus memprogram secara eksplisit untuk setiap masalah (Ni, Qiuping & Tang, Yuanxiang, 2023). Penerapan reinforcement learning telah menunjukkan hasil yang signifikan pada berbagai bidang seperti robotika (Jens Kober, J Andrew Bagnell, Jan Peters, 2013), permainan (Silver, D., Huang, A., Maddison, C. et al. Perkembangan teknik machine learning, khususnya dalam deep learning,
telah memungkinkan penggunaan arsitektur neural network yang lebih kompleks untuk memecahkan berbagai masalah yang sulit diselesaikan dengan pendekatan konvensional. Ini memungkinkan pengembangan algoritma yang dapat secara otomatis belajar dari lingkungan untuk menghasilkan solusi optimal dalam kondisi yang dinamis, seperti arus lalu lintas dan kedatangan pelanggan baru. Penggunaan deep reinforcement learning juga dapat digunakan pada berbagai permasalahan optimasi rute seperti yang dilakukan oleh Li et al. (2021) untuk permasalahan route mengusulkan routing problem deep q-network (RPDQN) untuk masalah vehicle  routing  problem  hasilnya  bahwa  pendekatan  RP-DQN  berhasil meningkatkan kinerja dalam menyelesaikan masalah perutean kendaraan dengan memanfaatkan representasi status dinamis dan efisiensi sampel yang lebih baik. (2018) untuk menyelesaikan masalah optimisasi kombinatorial, khususnya masalah perutean seperti Travelling Salesman Problem (TSP) dan Vehicle Routing Problem (VRP). Hasilnya menunjukkan bahwa model yang dibuat menunjukkan fleksibilitas yang baik dalam menangani berbagai jenis masalah optimisasi kombinatorial dengan satu set hyperparameters. Dengan kemampuan adaptasi ini, algoritma berbasis reinforcement learning tidak hanya meningkatkan efisiensi logistik dengan menemukan solusi rute yang optimal tetapi juga meningkatkan responsivitas terhadap kebutuhan pelanggan yang berfluktuasi, secara signifikan mengurangi waktu tunggu dan biaya operasional. Pendekatan ini, tidak hanya menjanjikan peningkatan dalam kinerja logistik tetapi juga menawarkan kemampuan untuk merespons secara lebih fleksibel terhadap tantangan operasional yang kompleks, memastikan kepuasan pelanggan dan keberlanjutan operasional dalam lingkungan bisnis yang semakin kompetitif. Penelitian ini diharapkan mampu meingkatkan efisiensi dalam pemilihan rute pada konteks logistik dan distribusi yang dinamis, khususnya dalam menghadapi dynamic vehicle routing problem with time windows (DVRPTW). Untuk mengatasi tantangan tersebut, penelitian ini mengusulkan penerapan Deep Q-Network (DQN) yang diperkaya dengan mekanisme Multi-Header Attention. Pendekatan ini dirancang untuk memanfaatkan kemampuan DQN dalam memahami dan beradaptasi dengan kondisi dinamis, serta mengintegrasikan Multi-Header Attention untuk meningkatkan pemrosesan informasi. Penggabungan kedua teknologi ini, diharapkan sistem dapat secara efektif mengidentifikasi rute optimal yang memenuhi semua kriteria dan batasan yang ada, sekaligus menyesuaikan diri dengan perubahan kondisi yang ada."
Armando Tirta Dwilaga_Kualifikasi.txt,ada banyak harapan positif terkait implikasi pembangunan berkelanj utan dari teknologi industri 4.0 selama beberapa tahun terakhir. kurangnya pemahaman yang akurat tentang proses di mana teknologi industri 4.0 memungkinkan manufaktur berkelanjutan adalah penghalang utama bagi bisnis yang mengejar digitalisasi dan pemikiran berkelanjutan ching ghobakhloo iranmanesh maroufkhani asadi 2022. semakin meningkatnya persaingan di dunia usah a harus sejalan dengan meningkatnya teknologi pada proses operasi setiap perusahaan. suatu produk dianggap cacat atau tidak berhasil jika tidak memenuhi standar yang telah ditetapkan perusahaan. memilih suatu produk pembeli mempertimbangkan beberapa aspek salah satunya adalah kualitas produk . konteks ini tidak hanya dilihat sebagai alat untuk meningkatkan efisiensi operasional tetapi juga sebagai sarana untuk meningkatkan daya saing dan memperluas pasar hernita surya perwira abubakar idris 2021. landasan pengendalian kualitas dalam produksi massal adalah penggunaan metrik yang berbeda untuk mengukur seberapa dekat produk mematuhi spesifikasi yang ditetapkan perusahaan. kemajuan teknologi kecerdasan buatan dan komputasi kognitif membawa dunia manufaktur ke kecepatan tinggi dan meningkatkan efisiensi bisnis adel 2022. jika menyangkut masalah kualitas salah satu teknologi yang digunakan seperti kecerdasan buatan harus mampu memberikan jawabannya. kemampuan kecerdasan buatan untuk meningkatkan kontrol kualitas ban dapat merevolusi bisnis ban dan menghasilkan produksi ban yang lebih aman lebih dapat diand alkan dan tidak terlalu berbahaya bagi lingkungan. hal tersebut menciptakan sumber teknologi informasi terkait teknologi baru dalam klasifikasi dengan menyajikan pendekatan berbasis kecerdasan buatan untuk inspeksi visual proses dengan menggunakan pembelajaran mendalam. salah satu teknik pembelajaran mesin yang dapat mengatasi masalah identifikasi pola dan kategorisasi objek dalam gambar adalah convolutional neural network cnn dengan aspek kecerdasan buatan maka prosedur ekstraksi dan klasifikasi fitur dapat dilakukan dengan pembelajaran mesin pada arsitektur yang sama . menurut penelitian wang guo lu zhang 2019 penggunaan metode convolutional neural network cnn dengan model arsitektur fully convolutional network dan vgg16 dibangun sebagai arsitektur dasar untuk direpresentasikan gambar ban secara akurat menemukan dan mengelompokkan cacat pada gambar ban. menurut penelitian lin 2023 menggunakan metode deep learning yaitu convolutional neural network cnn khususnya metode shufflenet yang ditingkatkan dengan fokus pentingnya kualitas ban dan risiko yang terkait dengan cacat seperti lubang kecil dan retakan pada permukaan ban. penelitian ini membandingkan kinerja lima metode berbeda termasuk akurasi klasifikasi googlenet adalah 827 shufenet tradisional adalah 853 vggnetis 873 resnet adalah 90 dan shufenet yang ditingkatkan memiliki akurasi tertinggi adalah 947 menjadikannya efektif dalam mendeteksi kerusakan ban. menurut penelitian li fan zhan g jiang 2021 menggunakan metode algoritma convolutional neural networks cnn dan arsitektur tirenet pengembangan sebuah kerangka kerja endtoend untuk deteksi cacat pada gambar sinar x ban dengan melibatkan 11 jenis cacat ban. algoritma yang diusulkan tirenet berhasil mencapai tingkat recall tertimbang sebesar 947 pada dataset yang ditawarkan. hal ini menunjukkan kemampuan algoritma untuk mendeteksi cacat ban dengan tingkat keberhasilan yang tinggi. menurut penelitian wu jiao sun chen 2020 mengusulkan metode deteksi cacat ban berdasarkan r cnn digunakan untuk deteksi objek dengan menggabungkan convolutional neural network cnn dengan al goritma pemilihan wilayah. metode deteksi cacat ban berfokus pada deteksi dinding samping benda asing pada tapak dan gelembung dinding samping yang menggabungkan fitur konvolusi lapisan ketiga dan kelima dalam arsitektur zeiler fergus network untuk men gekstraksi karakteristik mendalam sebagai masukan untuk faster r cnn. metode deteksi cacat ban yang diusulkan mencapai klasifikasi dan lokalisasi cacat ban yang akurat dengan tingkat pengenalan pengujian rata rata hingga 954. berdasarkan penjelasan penelitian terdahulu salah satunya yang mewakili menurut wang guo lu et al 2019 permasalahan penggunaan algoritma convolutional neural network cnn dengan arsitektur fully convolutional network mungkin tidak sensitif terhadap cacat kecil pada gambar ban seperti gelembung karena hilangnya detail yang disebabkan oleh operasi pengumpulan data. berdasarkan permasalahan yang terjadi masalah sensitivitas terhadap cacat kecil pada gambar ban dapat diatasi dengan menggunakan algoritma convolutional neural network cnn dengan membangun model atau kerangka kerja menggunakan keras. menambahkan lapisan lapisan seperti convolutional max pooling 2d flatten dan dense yang akan membantu model untuk mempelajari fitur fitur yang lebih spesifik terkait dengan gambar ban dan meningkatkan sensitivitas terhadap cacat. sehingga dapat memanfaatkan model model ini untuk meningkatkan sensitivitas terhadap cacat pada gambar ban.
Devi Resviani_KUALIFIKASI.txt,"Teknologi Informasi (TI) di era digital berkembang pesat untuk memenuhi kebutuhan bisnis yang terus berubah serta munculnya teknologi baru secara berkala. Artificial Intelligence (AI) merupakan bidang luas dalam teknologi informasi yang melibatkan komputasi, pengembangan perangkat lunak, dan transmisi data. AI diterapkan untuk meningkatkan kinerja di berbagai sektor, seperti kesehatan, organisasi bisnis, industri otomotif dan manufaktur. AI berperan dalam otomatisasi tugas penting, meningkatkan akurasi, dan efisiensi operasional. Teknologi AI mencakup pengenalan suara, robotika, identifikasi biometrik, deep learning, dan machine learning (Mohammad, 2020). Meskipun AI mencakup berbagai teknologi, machine learning adalah salah satu pendorong utama dalam inovasi dan penerapan AI, terutama dalam situasi yang memerlukan analisis data skala besar secara cepat dan efisien (Soliman, Fatnassi, Elgammal, & Figueiredo, 2023).Machine Learning (ML) atau pembelajaran mesin adalah bidang ilmu komputer yang fokus pada pengembangan algoritma dan teknik untuk menyelesaikan masalah kompleks yang sulit dipecahkan dengan metode pemograman konvensional (Rebala, Ravi, & Churiwala, 2019). Machine learning dibagi menjadi empat kategori yaitu supervised learning, unsupervised learning, semi-supervised learning, dan reinforcement learning (Mohammad, 2020). Teknologi machine learning telah menjadi populer di bidang aplikasi karena kemampuannya yang luas. Sistem ini dapat menghemat biaya perawatan dan meningkatkan efektivitas operasional dengan memungkinkan identifikasi kesalahan dini dan pengambilan keputusan proaktif (Varghese, 2023). Pemeliharaan prediktif memiliki dua fokus utama, yaitu peningkatan efisiensi energi atau penghematan energi, dan penurunan waktu berhenti yang tidak terjadwal (Assagaf, Sukandi, Abdillah, Arifin, Ga, & Technology, 2023). (2024) menggunakan algoritma machine learning, yaitu AdaBoost untuk mengklasifikasikan penghentian mesin secara real-time untuk pemeliharaan prediktif di industri tekstil. Sedangkan dalam pengembangan sistem pemeliharaan prediktif pada pompa sentrifugal  limbah,  penelitian  Bahar,  Schokry,  and  Alhanjouri  (2023)
menggunakan metode Seasonal Autoregressive Integrated Moving Average (SARIMA) untuk peramalan deret waktu dan Anomaly Detection Toolkit (ADTK) untuk deteksi anomali. Beberapa skenario aplikasi, kebutuhan akan pemrosesan data dan aliran data yang kompleks secara real-time telah terbukti penting. Namun, metode ini tidak sefleksibel atau sukses seperti metode machine learning (Ayvaz & Alpay, 2021). Oleh karena itu, metode machine learning akan menjadi pilihan yang lebih efektif dalam implementasi pemeliharaan prediktif. Berdasarkan pada kondisi mesin kompresor reciprocating, berbagai penerapan pemeliharaan prediktif maupun machine learning, maka peneliti akan mengusulkan mengenai ""Predictive Maintenance Pada Mesin Kompresor Reciprocating Berbasis Machine Learning"", guna meningkatkan kinerja operasional, meminimalkan downtime, dan mengurangi biaya perawatan pada mesin kompresor reciprocating."
Erfiana Wahyuningsih_UK.txt,"Pada tahun 2013, SRAM memakan 90% area chip, menjadikannya komponen utama sirkuit digital. Salah satu hal yang dituntut makin cepat perkembangannya yakni dengan menciptakan suatu komponen dengan lebih banyak blok fungsional yang terintegrasi dalam satu chip. Tahun 2015, Abiri dan Darabi menuliskan didalam penelitiannya mengenai Design of low power and high read stability 8T-SRAM memory based on the modified Gate Diffusion Input (m-GDI), sel memori SRAM 8-transistor (8T- SRAM) memiliki konsumsi daya rendah dan stabilitas baca tinggi. Namun, penelitian yang telah dilakukan ini masih dapat diarahkan lebih lanjut untuk mengurangi variabilitas proses dalam pembuatan rangkaian dengan teknik m-GDI, yang akan meningkatkan keandalan dan kinerja perangkat[1]. Seperti pada penelitian yang dilakukan oleh Izadinasab dan Gholipour (2021), SRAM yang dibahas dalam penelitiannya menggunakan sel SRAM 9T yang menggunakan mekanisme pemotongan umpan balik (feedback-cutting mechanism) selama operasi penulisan dan teknik jalur baca yang terpisah (decoupled-read path technique) untuk meningkatkan stabilitas baca dan tulis serta mengurangi konsumsi daya dinamis[5]. Darabi,et al (2023) mendesain SRAM menggunakan 11 transistor dalam konfigurasi sel bit tunggal dengan struktur single-ended dan dukungan arsitektur mini-array bit-interleaving menggunakan metode gate-diffusion input (GDI) guna mengutamakan efisiensi energi dan stabilitas operasi[7]. Modified Gate-Diffusion Input (m-GDI) adalah variasi dari teknologi GDI yang bertujuan untuk lebih meningkatkan efisiensi energi dan mengurangi kompleksitas area sirkuit. M-GDI mampu mengimplementasikan fungsi logika dengan menggunakan lebih sedikit transistor dibandingkan dengan GDI tradisional, yang dapat menghasilkan pengurangan konsumsi daya dan peningkatan kecepatan[6]. CMOS dipilih sebagai komponenen utama pada desain SRAM dengan metode GDI (Gate Diffusion Input) alasan utamanya adalah untuk mengurangi konsumsi daya pada sirkuit digital[8]. GDI merupakan teknik yang dikembangkan untuk menggantikan logika CMOS tradisional dengan tujuan mengurangi jumlah transistor yang diperlukan untuk mengimplementasikan fungsi logika, yang pada gilirannya mengurangi area dan konsumsi daya sirkuit[9]. Teknik GDI yang dimodifikasi (m-GDI) menawarkan solusi yang lebih efisien dalam hal konsumsi daya dan kompleksitas desain, yang sangat penting dalam pengembangan sirkuit digital yang hemat energi dan efisien [8], [9]."
Fitriana Indah Pramitasari_Kualifikasi.txt,teknologi informasi ti merupakan ilmu bidang teknologi yang dikembangkan untuk membantu berbagai pekerjaan manusia. perkembangan teknologi informasi ti dalam kecerdasan buatan atau artificial intelligence ai telah membawa perubahan di berbagai sektor. konsumsi pangan global cenderung meningkat lebih cepat dibandingkan pasokannya. et al 2023. dengan pesatnya pertumbuhan populasi dan meningkatnya permintaan pang an di seluruh dunia peningkatan produktivitas 2 dalam prosedur pertanian sangatlah penting zarandi. et al 2022. kentang merupakan salah satu tanaman komersial penting yang berkontribusi terhadap ketahanan pangan dan mengurangi kemiskinan di kalangan petani kecil di negara berkembang mijena. et al 2022. tanaman kentang dianggap sebagai tanaman yang berpotensi tinggi untuk ketahanan pangan karena menghasilkan kuantitas yang besar dan memberikan produk berkualitas tinggi dalam waktu tanam yang singkat. kentang memiliki sejarah panjang dalam membant u mengatasi masalah ketahanan pangan dan berkontribusi terhadap peningkatan pendapatan masyarakat terutama di masa masa sulit dan juga di tengah ekspansi populasi saat ini devaux.et al 2021. transformasi digital di bidang pertanian merupakan tren penting dalam praktik dan tata kelola yang berkelanjutan. et al 2023. banyak platform berbasis kecerdasan buatan yang telah dimanfaatkan untuk membantu kegiatan bisnis manufaktur perkantoran dan sebagainya gladysz. petani dapat menjual hasil panen dari platform koperasi secara langsung kepada konsumen. kecerdasan buatan digunakan pada platform koperasi petani untuk memproses dan menganalisis data 3 besar dan cepat pada rantai pasok. secara khusus teknologi blockchain yang terdesentralisasi dapat menjamin keamanan data yang lebih besar dan menawarkan peluang untuk menciptakan aset dan informasi digital den gan tingkat kekekalan dan transparansi yang tinggi rosi et al 2019 angela et al 2021. blockchain dapat membuat catatan yang tidak dapat diubah kuat terhadap perubahan data atau anti rusak sehingga memberikan konsistensi di seluruh jaringan. bersama dengan kecerdasan buatan blockchain menjadi bagian dari teknologi terdepan dalam ekonomi digital alamsyah et al 2022. dalam penerapan ini algoritma ann dapat diintegrasikan ke dalam blockchain un tuk memprediksi permintaan dan mengelola inventaris termasuk penentuan safety stock secara otomatis. platform pertanian cerdas akan menghasilkan peningkatan produktivitas profitabilitas dan kinerja pertanian pintar yang terhubung zarandi. melalui sistem pengendalian persediaan tersebut dapat meminimalka n biaya rantai pasok dan tingkat persediaan produk dapat dipertahankan tepat waktu dan jumlah persediaan yang harus dipenuhi efrilianda. et al 2018. berdasarkan analisis di atas penelitian ini mengusulkan sebuah perancangan model platform koperasi petani. metode yang digunakan terdiri dari uml untuk menggambarkan alur sistem platform koperasi pertanian yang terdiri dari use case diagram activity diagram dan sequence diagram. metode ann digunakan untuk memprediksi permintaan kentang di masa depan selama periode tertentu. penelitian ini dapat membantu mensejahterakan petani dan manajemen inventory koperasi melalui platform koperasi petani.
KUALIFIKASI_Riya Widayanti.txt,"M (2018) sebelumnya menjelaskan bahwa teknologi informasi merupakan bidang ilmu yang setiap saat berkembang pesat, dan tidak mungkin untuk memprediksi adanya perubahan dari awal tahun hingga akhir tahun. Dua hal yang menjadi isu terpenting yaitu kecepatan data dan data yang terpercaya (Talend, 2016). Seiring tumbuhnya organisasi banyak data yang harus dikelola yang bisa menciptakan risiko kualitas data dan kurangnya kepatuhan terdahap perlindungan data itu sendiri. Di dalam Gambar 1, blok genesis adalah sumber untuk pembuatan teknologi blockchain. mengatakan bahwa metode pembelajaran dalam pendidikan membutuhkan teknologi yang dapat beradaptasi dengan perkembangan zaman. Batas-batas yang menghalangi mahasiswa untuk maju dalam perkembangan teknologi perlu diubah karena teknologi blockchain merupakan teknologi yang dapat dimanfaatkan dan dikembangkan dalam segala hal. Ini membawa berbagai masalah tata kelola data seperti privasi dan jaminan kualitas. Oleh karena itu, sangat penting untuk meninjau masalah ini dengan hati-hati untuk membantu mengembangkan kerangka kerja yang memadai untuk tata kelola data blockchain untuk mempromosikan manajemen yang efektif dan penggunaan teknologi blockchain yang tepat. (Paik, et al., 2019)
Berdasarkan latar belakang di atas, akan dilakukan penelitian dengan judul ""Usulan Kerangka Tata Kelola Data dengan Menggunakan Teknologi Blockchain pada Pendidikan Tinggi""."
Kualifikasi Witta Listiya Ningrum.txt,"Perkembangan teknologi internet dan aplikasinya telah berkembang sangat pesat dan memberikan dampak yang cukup hebat. Salah satu teknologi yang memberi dampak tersebut adalah layanan sosial media, sosial media merupakan salah satu wadah yang disediakan untuk berbagi konten dan berinteraksi sosial untuk mengekspresikan pemikiran, ide-ide, foto dan video. Sosial media memiliki banyak aspek positif, salah satunya adalah rasa kebersamaan yang diberikan kepada masyarakat. Orang-orang dari semua lapisan masyarakat di seluruh dunia dapat terhubung dengan individu yang tepat dan membangun jaringan yang saling menguntungkan. Menurut (Akhsi dan Nitin, 2021) Meningkatnya ketersediaan layanan data yang wajar dan kehadiran sosial media telah memberikan dampak tanpa hambatan di mana pengguna online telah menemukan cara- cara yang salah dan melanggar hukum untuk menyakiti dan mempermalukan individu melalui komentar kebencian di platform atau aplikasi online. Menurut (Regiolina et all, 2023) Terlepas dari kenyataan bahwa sosial media menawarkan banyak hal baik bagi dunia, sosial media juga memiliki sejumlah aspek negatif. Menurut (Revati & Meetkumar, 2018) klasifikasi komentar beracun online dapat dibagi tingkat toksisitasnya menjadi 6 label yang sudah disediakan oleh kumpulan data di platform Kaggle, yaitu toxic, severe-toxic, pelecehan, ancaman, penghinaan dan ujaran kebencian terhadap identitas. Large Language Models merupakan model kecerdasan buatan yang dirancang untuk menangani dan memproses lebih dari satu jenis data atau modalitas, seperti teks, gambar, video, dan audio. Pengembangan model klasifikasi toksisitas pada platform sosial media dengan kombinasi multimodal yang digunakan merujuk pada upaya untuk menciptakan atau meningkatkan suatu model atau algoritma yang dapat mengidentifikasi dan mengklasifikasikan konten yang bersifat toxic atau merugikan di platform-platform sosial media. Hasil pengujian dan pelatihan menggunakan CNN didapat nilai akurasi batik tanah liat Sumatera Barat sebesar 98.75% pada data latih dan 62.5% pada data uji. Tingkat akurasi ini cukup baik sebagai rujukan dalam membangun real application pengenalan motif batik secara umum. Hasil ini menunjukkan metode CNN dapat diterapkan untuk mengklasifikasi batik tanah liat Sumatera Barat. Metode fusi ketiga adalah metode fusi berbasis perhatian yang diusulkan dalam makalah ini, yang mencapai skor mikro f1 tertinggi hingga 84,2%
Penelitian juga dilakukan oleh (Hong Fan, 2021) Untuk mendeteksi toksisitas dengan mengadopsi model BERT untuk pengklasifikasian komentar beracun dari data pada media sosial Twitter. Hasil evaluasi menunjukkan bahwa BERT memiliki kemampuan klasifikasi dan memprediksi komentar beracun dengan tingkat akurasi yang tinggi. Selain itu penelitian ini juga membandingkan model berbasis BERT dengan 3 model lainnya yaitu Multilingual BERT, RoBERTa dan DistilBERT. Model berbasis BERT mengunguli semua model yang dibandingkan dan mencapai hasil terbaik. Pada  penelitian  ini  akan  dilakukan  pengembangan  klasifikasi  toksisitas multimodal pada platform sosial media menggunakan Large Language Model (LLM) dengan kombinasi jenis media teks, gambar dan video. Hasil dari klasifikasi toksisitas nantinya berupa label yang menunjukkan apakah konten atau perilaku tersebut dianggap toxic, non- toxic, dan netral. Informasi ini dapat digunakan untuk memicu tindakan seperti penyaringan konten, menghapus konten yang melanggar kebijakan, atau memberikan peringatan kepada pengguna yang melanggar aturan. Dengan demikian, klasifikasi toksisitas merupakan komponen penting dari upaya untuk menjaga lingkungan online yang aman, positif, dan inklusif."
Kualifikasi_Aris Gunaryati.txt,"Penelitian terkait analisis runtun waktu (time series) dan peramalan (forecasting) adalah bidang penelitian yang aktif, artinya sampai saat ini masih terus dilakukan penelitian mengenai keakuratan dalam proses peramalan runtun waktu terkait dengan proses pengambilan keputusan. Beberapa penelitian yang melakukan riset pada runtun waktu menggunakan metode statistik, jaringan syaraf (neural network), wavelet, maupun system fuzzy. Metode ini akan lebih cocok jika kebutuhan hanyalah ingin mengetahui berapa angka yang akan diprediksi untuk periode mendatang dan tidak perlu campur tangan dari luar untuk mempengaruhi hasil prediksi, karena sandaran satu-satunya adalah data historis yang memang sudah terjadi dan tidak dapat ditarik kembali. Kedua, metode peramalan yang didasarkan pada kecerdasan buatan seperti neural network, algoritma genetika, simulated annealing, genetic programming, klasifikasi dan model hybrid. Salah satu algoritma machine learning yang sudah dikembangkan saat ini untuk metode peramalan adalah metode Quantum Neural Network (QNN) [4, 5]
Berdasarkan latar belakang tersebut maka dalam penelitian ini penulis tertarik untuk membuat suatu metode peramalan berbasis komputasi kuantum dari metode peramalan Hybrid Arima Neural Network (Quantum ARIMA Neural Network) dengan studi kasus data pertambahan jumlah kasus harian covid 19 di Jakarta. Studi kasus ini dilakukan untuk mengendalikan penyebaran Covid 19 melalui analisis prediksi penambahan kasus harian baik jumlah yang positif, meninggal dan sembuh dari Covid 19 di periode yang akan datang. Dalam penelitian ini akan dilakukan analisis runtun waktu pertambahan jumlah kasus harian Covid 19 di Jakarta dengan metode Hybrid Quantum ARIMA NN berdasarkan dataset dari situs https://corona.jakarta.go.id tanggal 6 Maret 2020 sampai 30 Juni 2021 sebagai data training dan nanti akan diprediksi untuk tanggal 1 Juli 2021 sampai dengan 31 Juli 2021 sebagai data uji. Tujuan umum dari penelitian ini adalah untuk mengembangkan model prediksi Quantum ARIMA NN yang diharapkan dapat menghasilkan tingkat akurasi yang tinggi dengan komputasi yang tidak terlalu lama dalam pengolahan data yang cukup besar. Tujuan khususnya adalah menganalisis data pertambahan jumlah kasus harian Covid 19 di Jakarta menggunakan metode ARIMA, Neural Network, Hybrid Arima NN dan Quantum ARIMA NN dan membandingkan akurasinya"
Kualifikasi_Rama Dian Syah.txt,"Perkembangan teknologi dan komunikasi menyebabkan digitalisasi pada media citra untuk memberikan informasi. Kemudahan pada digitalisasi citra menyebabkan peluang terhadap kejahatan yang mungkin terjadi seperti akses tidak sah, modifikasi konten, pelanggaran hak cipta, dan lain-lain (Hamza, 2019). Hasil penelitian membuktikan bahwa teknik konfusi dan difusi dapat memberikan keamanan yang baik pada metode kriptografi citra digital. Peneliti Shazia Sabir dan kawan-kawan (Sabir & Guleria, 2021) melakukan penelitian mengembangkan metode kriptografi citra digital menggunakan algoritma Arnold's Cat Map, Reality Preserving Two Dimensional Discrete Fractional Hertley Transform dan Random Matrix Affine Cipher. Hasil penelitian yaitu metode diterapkan pada enkripsi citra digital dengan multi-layer warna komponen RGB. Peneliti Arwa Benlashram dan kawan-kawan (Benlashram et al., 2020) melakukan penelitian mengembangkan metode kriptografi citra digital menggunakan metode pengacakan piksel dan 3D Chaotic Map. Dari uraian diatas dapat disimpulkan bahwa metode kriptografi citra digital berbasis chaotic dapat dikembangkan untuk meningkatkan performa keamanan. Penelitian ini mengusulkan pengembangan metode kriptografi citra digital dengan menggunakan kombinasi dari Cat Map, Henon Map dan Logistic Map menggunakan teknik konfusi dan difusi agar proses kriptografi dapat meningkatkan keamanan dengan melalui beberapa pengujian."
