nama_dokumen,summary
Alfharizky Fauzi_Kualifikasi.txt,beberapa penelitian terkait tentang pengolahan citra dan teks penyakit kulit untuk menentukan klasifikasi jenis penyakit pada kulit yang terdeteksi pada organ kulit menggunakan metode algoritma pengolahan image teks maupun keduanya yang menjadi rujukan penelitian . dalam keseluruhan perbandingan ini penelitian ini memberikan wawasan yang komprehensif tentang kelebihan dan kekurangan masing masing pendekatan serta tantangan dan peluang pengembangan di masa depan memberikan dasar yang kuat bagi peneliti baru untuk mengeksplorasi dan berkontribusi dalam bidang pencocokan gambar teks berbasis pembelajaran mendalam.
Alifurrohman_Kualifikasi.txt,"Model permasalahan pada penelitian terdahulu terbagi menjadi beberapa model yaitu dynamic vehicle routing problem (DVRP), Dynamic Vehicle Routing Problem with Time Windows (DVRPTW), capacited vehicle routing problem (CVRP), heterogeounus capacited vehicle routing problem (HCVRP), travel salesman problem (TSP). Multi attention juga digunakan pada penyelesaian permasalahan optimasi rute dan menunjukan hasil yang optimal. Pada penelitian selanjutnya fokus penelitian pada model masalah dynamic vehicle routing problem with time windows (DVRPTW) dengan fokus terhadap ketidakpastian jalan raya serta ketidakpastian pelanggan yang berubah-ubah, dimana pada proses pengiriman ke pelanggan terdapat jendela waktu atau batasan waktu pengiriman sampai ke pelanggan."
Armando Tirta Dwilaga_Kualifikasi.txt,kedua adalah penggunaan convolutional neural networks cnn dalam pemeriksaan visual yang telah banyak digunakan dalam sistem inspeksi visual untuk mendeteksi mengklasifikasikan dan mengidentifikasi objek dan fitur dalam gambar. penelitian sebelumnya mengenai segmentasi gambar dapat menawarkan strategi dan teknik yang dapat digunakan untuk mengisolasi daerah yang signifikan atau bermasalah dalam foto produk ban. penggunaan epoch 10 20 30 100 120 200. penggunaan nilai dropout 0.1 0.2 0.5. penggunaan input size 256x256 127x127 900x900 50x50 64x64 . penelitian yang dilakukan oleh vasan sridharan sreelatha vaithiyanatha 2023 melakukan perbandingan dilakukan untuk pretrained model vgg 16 googlenet alexnet resnet 50. permasalahan yang ditimbulkan oleh masing masing jurnal referensi dominan seperti dalam beberapa penelitian yang menggambarkan dominansi permasalahan seperti wang guo lu et al 2019 permasalahan penggunaan algoritma convolutional neural networks cnn dengan arsitektur convolutional pooling fully convolutional network mungkin tidak sensitif terhadap cacat kecil pada gambar ban seperti gelembung karena hilangnya detail yang disebabkan oleh operasi pengumpulan data. dilanjutkan oleh penelitian wu jiao sun et al 2021 penelitian ini mengakui bahwa hasil deteksi cacat gelembung sedikit buruk dan menyarankan penelitian lebih lanjut dengan menggunakan kombinasi metode deteksi langsung dan tidak langsung. li fan zhang et al 2021 menyatakan meskipun algoritma ini berhasil dalam mendeteksi berbagai jenis cacat masih terdapat kebutuhan untuk meningkatkan deteksi pada jenis cacat tertentu seperti gelembung yang memiliki perbedaan yang halus dari bagian sekitarnya.
Devi Resviani_KUALIFIKASI.txt,penelitian cabrera et al. hasilnya menunjukkan akurasi pengenalan kesalahan yang lebih tinggi daripada metode lain yang memperkenalkan penggunaan optimasi bayesian dalam model deep learning untuk meningkatkan kinerja. penelitian tersebut menunjukkan bahwa model gradient boosted trees gbts dan nonhomogeneous hidden semi markov models nhhsmm efektif dalam memprediksi rul dengan tingkat kepercayaan tinggi menggarisbawahi pentingnya pendekatan probabilistik berbasis data yang memperluas penggunaan metode machine learning yang digunakan oleh loukopoulos et al. metode tersebut menambah dimensi baru dalam deteksi kerusakan dengan metode non invasif yang berbeda dari ae yang digunakan oleh sim et al. 2019 . penelitian x. li et al. penelitian ini dapat dikatakan melanjutkan perkembangan metode prognostik dari loukopoulos et al. 2019 memperkenalkan adaptasi langsung berdasarkan kondisi operasi yang beragam. 2020 mengembangkan model evaluasi berbasis analytic hierarchy process ahp dan fuzzy comprehensive evaluation fce untuk strategi pemeliharaan optimal. penelitian charoenchitt and tangamchit 2021 mendeteksi kerusakan awal pada kompresor menggunakan autoencoder menggabungkan data termodinamika dan getaran untuk meningkatkan akurasi prediksi. pendekatan ini memperkuat penggunaan data sensor yang berbeda untuk deteksi anomali yang telah diinisiasi oleh toroghi and sadighi 2020 dengan esa. penelitian zhang et al. 2021 mengevaluasi penggunaan teknologi ae dengan metode deep learning khususnya cnn dan lstm untuk memprediksi karakteristik dinamis katup. hasilnya menunjukkan akurasi tinggi dan memperluas penggunaan teknologi ae yang awalnya diusulkan oleh sim et al. 2019 dengan tambahan kemampuan deep learning untuk prediksi yang lebih canggih. penelitian zhao et al.
Erfiana Wahyuningsih_UK.txt,berdasarkan beberapa penelitian terkait sram untuk mewujudkan sram low power dan high read stability metode yang dapat dilakukan yakni gdi mgdi finfet cntfet hingga adiabatik. oleh karena itu dipilih metode m gdi sebab metode ini menawarkan solusi yang lebih efisien dalam hal konsumsi daya dan kompleksitas desain yang sangat penting dalam pengembangan sirkuit digital yang hemat energi dan efisien 8.
Fitriana Indah Pramitasari_Kualifikasi.txt,berdasarkan hasil kajian tabel 2.2 dapat dilakukan pengembangan model koperasi petani untuk produk kentang dengan tujuan ketahanan pangan dan mengoptimalkan rantai pasok. teknologi blockchain yang terdesentralisasi dapat menjamin keamanan data yang lebih besar dan menawarkan peluang untuk menciptakan aset dan in formasi digital dengan tingkat kekekalan dan transparansi yang tinggi 2. artificial neural network adalah jenis algoritma pembelajaran mesin yang terinspirasi oleh struktur dan fungsi otak manusia.
KUALIFIKASI_Riya Widayanti.txt,dalam penelitian lanjutan penerapan blockchain memperhatikan aspek governance yaitu pada permission model dan trust model dimana level skema pengkodifikasinya berada macro level yaitu tata kelola organisasi akuntabilitas dan pengeawasannya. pada level meso aspek mekanisme pengambilan keputusan insentif dan konsensus pada smartcontract.
Kualifikasi Witta Listiya Ningrum.txt,meskipun kinerja llm dalam pemrosesan dan 28 pembuatan teks sudah mengesankan ada potensi keuntungan tambahan dalam mengintegrasikan llm dengan jaringan syaraf lainnya. hasil evaluasi dalam melakukan klasifikasi menggunakan bert menunjukkan bahwa bert memiliki kemampuan klasifikasi dan memprediksi komentar beracun dengan tingkat akurasi yang tinggi.
Kualifikasi_Aris Gunaryati.txt,berdasarkan perbandingan telaah tersebut pada penelitian ini akan diusulkan s ebuah metode untuk menghasilkan model peramalan yang sesuai untuk data runtun waktu yang ada yaitu data jumlah kasus harian covid 19 di jakarta dengan metode hybrid arimaqnn berdasarkan dataset dari situs httpscorona.jakarta.go.id tangg al 6 maret 2020 sampai 30 juni 2021 sebagai data training dan nanti akan diprediksi untuk tanggal 1 juli 2021 sampai dengan 31 juli 2021 sebagai data uji. metode hybrid arimaqnn diusulkan d engan harapan akan memb erikan nilai pe ramalan yang lebih akurat de ngan pr esisisi yang tinggi
Kualifikasi_Rama Dian Syah.txt,2020 melakukan penelitian hanya pada citra greyscale dengan ukuran 256 x 256 menggunakan kombinasi pengacakan piksel operasi xor dan 3d chaotic map . 2021 melakukan metode enkripsi dengan menggunakan kombinasi algoritma logistic map dan 2dpsncm dengan hasil penelitian berupa nilai korelasi dan entropi tetapi tidak melakukan pengujian nilai uaci dan npcr.
Kualifikasi_Remigius.txt,talan dan kalinkara 2022 berfokus pada pendapat mahasiswa mengenai penggunaan metaverse di lingkungan pendidikan. guo dan gao 2022 berfokus pada desain pengajaran bahasa inggris situasional berbasis pengalama n didukung metaverse.
Miftakhul Zaen_KUALIFIKASI.txt,202 1 huang et al. 2019 menunjukkan ba hwa knn block dbscan memilik i akura si yang tinggi dan perf orma yang lebih berdasarkan tab el 2.1 penelitian terdahu lu dapat diketahui perkembangan baik dibandingkan varian dbscan lainnya termasuk ρ approximate dbscan dan anydbc terutama dalam kecepatan proses klastering tanpa mengor bankan akurasi . 2021 dengan mengembangkan algoritma birchscan hasil pe nelitian menunjukkan bahwa birchscan efektif dalam memproses dataset besar dengan hasil yang serupa dengan dbscan tetapi dengan pemrosesan waktu yang lebih cepat.
Ragmar Faikar Eka_Kualifikasi.txt,pada penelitian ini penulis mengambil beberapa referensi metode dan teknik yang digunakan pada penelitian terdahulu rangkuman penelitian tersebut disajikan dalam bentuk fishbone diagram pada gambar 2.15. dalam melakukan penelitian sangat penting untuk menentukan metode yang akan 29 gambar 2.15 fishbone penelitian berdasarkan metode dan teknik yang telah dilakukan pada penelitian terdahulu untuk menjawab tujuan dari penelitian ini maka akan digunakan metode deep learning cnn dengan arsitektur mobilenetv3 dan menggabungkannya dengan attention module cbam serta menggunakan pendekatan contour dalam tahap segmentasi data.
Reviana Siti Mardiah_Kualifikasi.txt,penelitian ini bertujuan untuk mengembangkan model yang lebih adaptif yang mampu mengatasi fluktuasi dalam produksi dan permintaan serta memberikan rekomendasi untuk jumlah cadangan beras pemerintah yang optimal. penelitian ini juga akan membangun dss yang akan memberikan rekomendasi strategi pengadaan beras yang efektif untuk menjamin ketahanan pangan.
Reza Al Husna_Kualifikasi.txt,2019. pada tahun 2021 sebuah penelitian yang mengembangkan sistem deteksi penyakit pohon ka kao dengan pendekatan feature fusion menggunakan hog dan lbp untuk ekstraksi fitur dan svm rf ann sebagai model klasifikasi rodriguez et al. 2024. pada tahun ini 2024 akan diajukan oleh peneliti pengembangan algoritma berbasis vision transformer pada deteksi penyakit tanaman kakao .
Robert_Kualifikasi.txt,2009 . hasil dari lmp kemudian digunakan sebagai input 46 model svm. pada tahun 2023 dilakukan pengenalan ekspresi wajah menggunakan histogram based feature descriptor untuk ekstrasi fitur dan knn sebagai model pengenalan wajah eleyan 2023 .
Tatya Atyanti Paramastri_Kualifikasi.txt,selanjutnya deteksi tepi dilakukan untuk meningkatkan akurasi. namun karena deteksi tepi membuat citra menjadi grayscale maka sebaiknya hanya dilakukan pada klasifikasi motif batik dari satu daerah. berdasarkan penelitian didapatkan hasil bahwa deteksi tepi canny memberikan hasil yang lebih baik dibandingkan sobel prewitt robert.
Tia Haryanti_Kualifikasi.txt,2020. pada tahun selanjutnya terdapat penelitian mengembangkan metode deteksi kelelahan pengemudi menggunakan cnn dengan parameter yang diukur yaitu posisi kepala dan mata. nilai akurasi yang didapat rata rata 8955 li x. xia j. cao l. zhang g. feng x 2021. tahun 2022 terdapat dua penelitan pengembangan sistem untuk meningkatkan akurasi deteksi kel elahan dan memperbaiki kinerja sistem. flammini f. natarajan r 2023. penelitian terkini menunjukkan bahwa penggunaan cnn dalam pengenalan pola dan citra memiliki akurasi yang tinggi namun pengaplik asian dalam sistem deteksi dini kantuk pada kondisi pre driving masih terbatas. kebaruan dari 41 penelitian ini terletak pada pengembangan algoritma yang dioptimalkan untuk deteksi dini kantuk dengan memanfaatkan penggabungan data citra gambar dan data fisiol ogis untuk meningkatkan keakuratan deteksi serta integrasinya dalam lingkungan pre driving belum banyak dilakukan.
Utami Lestari_Kualifikasi.txt,berdasarkan pemaparan tersebut maka terdapat peluang untuk dilakukan pengembangan platform tinjauan artikel ilmiah dalam bidang ilmu computer dengan menggunakan model bahasa besar. 2.6 peer review peer review process adalah proses di mana jurnal menilai kualitas naskah sebelum diterbitkan ditinjau oleh para ahli yang relevan di bidangnya untuk mereview dan mengomentari naskah yang diterima. 2. naskah yang lolos pemeriksaan akan dikirim pada minimal dua peer reviewer untuk ditinjau.
Yoga Panji Perdana Nugraha_Kualifikasi.txt,berdasarkan perbandingan tinnjauan pustaka di atas yang kemudian disesuaikan dengan tujuan dari penelitian ini. maka dapat disimpulkan.
